rcept_no,rcept_dt,stock_code,corp_name,report_nm,event_category,body_format,parsed_effective_date,parsed_suspension_start,parsed_suspension_end,parsed_resumption_date,parsed_resumption_time,date_label_used,raw_text_window,parser_confidence,manual_review_required,parse_status,correction_flag,notes,source_period,parser_version,cached_body_at_run,prior_priority_bucket,is_period_change,correction_pass3_confidence
20121012900363,20121012,053810,아이팩토리,주권매매거래정지,suspension_related,html_inline,2012-10-12,2012-10-12,,,,정지기간,목 (주)유비프리시젼 보통주 2.정지사유 자본감소 3.정지기간 가.정지일시 2012-10-12 17:03:00 나.만료일시 장종료시까지 4.근거규정 코스닥시장공시규정 제37조 및 동규정시행세칙 제18조 5.기타 코스닥시장업무규정시행세칙 제2,high,False,extracted,False,,pre_2018,krx_status_html_inline-1.1.0,True,P3_ordinary_suspension,False,
20121012900241,20121012,095660,네오위즈,주권매매거래정지(합병결의),suspension_related,html_inline,2012-10-12,2012-10-12,,,,정지기간,종목 (주)네오위즈게임즈 보통주 2.정지사유 합병 3.정지기간 가.정지일시 2012-10-12 15:57:00 나.만료일시 장종료시까지 4.근거규정 코스닥시장공시규정 제37조 및 동규정시행세칙 제18조 5.기타 코스닥시장업무규정시행세칙 제2,high,False,extracted,False,,pre_2018,krx_status_html_inline-1.1.0,True,P3_ordinary_suspension,False,
20121012900242,20121012,104200,NHN벅스,주권매매거래정지(합병),suspension_related,html_inline,2012-10-12,2012-10-12,,,,정지기간,종목 (주)네오위즈인터넷 보통주 2.정지사유 합병 3.정지기간 가.정지일시 2012-10-12 15:57:00 나.만료일시 장종료시까지 4.근거규정 코스닥시장공시규정 제37조 및 동규정시행세칙 제18조 5.기타 코스닥시장업무규정시행세칙 제2,high,False,extracted,False,,pre_2018,krx_status_html_inline-1.1.0,True,P3_ordinary_suspension,False,
20121012900166,20121012,066430,아이로보틱스,주권매매거래정지(자본감소),suspension_related,html_inline,2012-10-12,2012-10-12,,,,정지기간,목 (주)스템싸이언스 보통주 2.정지사유 자본감소 3.정지기간 가.정지일시 2012-10-12 15:15:00 나.만료일시 장종료시까지 4.근거규정 코스닥시장공시규정 제37조 및 동규정시행세칙 제18조 5.기타 코스닥시장업무규정시행세칙 제2,high,False,extracted,False,,pre_2018,krx_status_html_inline-1.1.0,True,P3_ordinary_suspension,False,
20121015900287,20121015,042940,상지건설,주권매매거래정지(구주권 제출),suspension_related,html_inline,2012-10-18,2012-10-18,,,,정지기간,종목 (주)르네코 보통주 2.정지사유 구주권 제출 3.정지기간 가.정지일시 2012-10-18 - 나.만료일시 신주권 변경상장일 전일까지 4.근거규정 코스닥시장업무규정 제25조 및 동규정시행세칙 제30조 5.기타 -,high,False,extracted,False,,pre_2018,krx_status_html_inline-1.1.0,True,P3_ordinary_suspension,False,
20121015900204,20121015,036210,태산엘시디,주권매매거래정지(자본감소),suspension_related,html_inline,2012-10-15,2012-10-15,,,,정지기간,종목 태산엘시디(주) 보통주 2.정지사유 자본감소 3.정지기간 가.정지일시 2012-10-15 15:52:00 나.만료일시 장종료시까지 4.근거규정 코스닥시장공시규정 제37조 및 동규정시행세칙 제18조 5.기타 코스닥시장업무규정시행세칙 제2,high,False,extracted,False,,pre_2018,krx_status_html_inline-1.1.0,True,P3_ordinary_suspension,False,
20121016900172,20121016,131180,딜리,주권매매거래정지(구주권제출),suspension_related,html_inline,2012-10-19,2012-10-19,,,,정지기간,상종목 (주)딜리 보통주 2.정지사유 구주권 제출 3.정지기간 가.정지일시 2012-10-19 - 나.만료일시 신주권 변경상장일 전일까지 4.근거규정 코스닥시장업무규정 제25조 및 동규정시행세칙 제30조 5.기타 구주권제출사유 : 주식분할,high,False,extracted,False,,pre_2018,krx_status_html_inline-1.1.0,True,P3_ordinary_suspension,False,
20121016900058,20121016,013780,아큐텍,주권매매거래정지,suspension_related,html_inline,2012-10-16,2012-10-16,,,,정지기간,종목 (주)아큐텍 보통주 2.정지사유 투자자 보호 3.정지기간 가.정지일시 2012-10-16 11:00:00 나.만료일시 상장폐지 실질심사 대상여부에 관한 결정일까지 4.근거규정 코스닥시장상장규정 제29조 및 동규정시행세칙 제29조 5.기,high,False,extracted,False,,pre_2018,krx_status_html_inline-1.1.0,True,P3_ordinary_suspension,False,
20121017900230,20121017,024660,하림홀딩스,주권매매거래정지,suspension_related,html_inline,2012-10-17,2012-10-17,,,,정지기간, 보통주 2.정지사유 우회상장여부 및 요건충족확인 3.정지기간 가.정지일시 2012-10-17 16:43:00 나.만료일시 우회상장 여부 통지일까지 4.근거규정 코스닥시장상장규정 제29조 및 동규정시행세칙 제29조 5.기타 -,high,False,extracted,False,,pre_2018,krx_status_html_inline-1.1.0,True,P3_ordinary_suspension,False,
20121018900207,20121018,046110,한일네트웍스,주권매매거래정지(우회상장여부 및 요건충족확인),suspension_related,html_inline,2012-10-18,2012-10-18,,,,정지기간, 보통주 2.정지사유 우회상장여부 및 요건충족확인 3.정지기간 가.정지일시 2012-10-18 15:53:00 나.만료일시 우회상장 여부 통지일까지 4.근거규정 코스닥시장상장규정 제29조 및 동규정시행세칙 제29조 5.기타 -,high,False,extracted,False,,pre_2018,krx_status_html_inline-1.1.0,True,P3_ordinary_suspension,False,
20121018900181,20121018,122690,서진오토모티브,주권매매거래정지(액면병합에 따른 구주권 제출),suspension_related,html_inline,2012-10-23,2012-10-23,,,,정지기간,주)서진오토모티브 보통주 2.정지사유 구주권 제출 3.정지기간 가.정지일시 2012-10-23 - 나.만료일시 신주권 변경상장일 전일까지 4.근거규정 코스닥시장업무규정 제25조 및 동규정시행세칙 제30조 5.기타 -,high,False,extracted,False,,pre_2018,krx_status_html_inline-1.1.0,True,P3_ordinary_suspension,False,
20121018900170,20121018,033500,동성화인텍,주권매매거래정지(우회상장여부 및 요건충족확인),suspension_related,html_inline,2012-10-18,2012-10-18,,,,정지기간, 보통주 2.정지사유 우회상장여부 및 요건충족확인 3.정지기간 가.정지일시 2012-10-18 15:15:00 나.만료일시 우회상장여부 통지일까지 4.근거규정 코스닥시장상장규정 제29조 및 동규정시행세칙 제29조 5.기타 -,high,False,extracted,False,,pre_2018,krx_status_html_inline-1.1.0,True,P3_ordinary_suspension,False,
20121018900169,20121018,031920,조은저축은행,주권매매거래정지(주식병합을 위한 구주권제출),suspension_related,html_inline,2012-10-23,2012-10-23,,,,정지기간,)신민상호저축은행 보통주 2.정지사유 구주권 제출 3.정지기간 가.정지일시 2012-10-23 - 나.만료일시 신주권 변경상장일 전일까지 4.근거규정 코스닥시장업무규정 제25조 및 동규정시행세칙 제30조 5.기타 코스닥시장업무규정시행세칙 제,high,False,extracted,False,,pre_2018,krx_status_html_inline-1.1.0,True,P3_ordinary_suspension,False,
20121018900146,20121018,037950,엘컴텍,주권매매거래정지(풍문 또는 보도 관련),suspension_related,html_inline,2012-10-18,2012-10-18,,,,정지기간,"텍(주) 보통주 2.정지사유 풍문 또는 보도 관련 3.정지기간 가.정지일시 2012-10-18 14:29:00 나.만료일시 조회결과 공시후 30분 경과시점까지 단, 1) 공시시점이 정규시장 매매거래개시전인 경우에는 정규시장 매매거래개시점부터",high,False,extracted,False,,pre_2018,krx_status_html_inline-1.1.0,True,P3_ordinary_suspension,False,
20121024900301,20121024,009520,포스코엠텍,주권매매거래정지,suspension_related,html_inline,2012-10-24,2012-10-24,,,,정지기간, 보통주 2.정지사유 우회상장여부 및 요건충족확인 3.정지기간 가.정지일시 2012-10-24 17:14:00 나.만료일시 우회상장 여부 통지일까지 4.근거규정 코스닥시장상장규정 제29조 및 동규정시행세칙 제29조 5.기타 -,high,False,extracted,False,,pre_2018,krx_status_html_inline-1.1.0,True,P3_ordinary_suspension,False,
20121025900350,20121025,066060,휴먼텍코리아,주권매매거래정지(자본감소),suspension_related,html_inline,2012-10-25,2012-10-25,,,,정지기간,목 (주)휴먼텍코리아 보통주 2.정지사유 자본감소 3.정지기간 가.정지일시 2012-10-25 17:29:00 나.만료일시 장종료시까지 4.근거규정 코스닥시장공시규정 제37조 및 동규정시행세칙 제18조 5.기타 코스닥시장업무규정시행세칙 제2,high,False,extracted,False,,pre_2018,krx_status_html_inline-1.1.0,True,P3_ordinary_suspension,False,
20121025900250,20121025,033630,에스케이브로드밴드,주권매매거래정지(우회상장여부 및 요건충족확인),suspension_related,html_inline,2012-10-25,2012-10-25,,,,정지기간, 보통주 2.정지사유 우회상장여부 및 요건충족확인 3.정지기간 가.정지일시 2012-10-25 16:16:00 나.만료일시 우회상장 여부 통지일까지 4.근거규정 코스닥시장상장규정 제29조 및 동규정시행세칙 제29조 5.기타 -,high,False,extracted,False,,pre_2018,krx_status_html_inline-1.1.0,True,P3_ordinary_suspension,False,
20121025900154,20121025,046120,오르비텍,주권매매거래정지(풍문 또는 보도 관련),suspension_related,html_inline,2012-10-25,2012-10-25,,,,정지기간,"이(주) 보통주 2.정지사유 풍문 또는 보도 관련 3.정지기간 가.정지일시 2012-10-25 15:20:00 나.만료일시 조회결과 공시후 30분 경과시점까지 단, 1) 공시시점이 정규시장 매매거래개시전인 경우에는 정규시장 매매거래개시점부터",high,False,extracted,False,,pre_2018,krx_status_html_inline-1.1.0,True,P3_ordinary_suspension,False,
20121025900045,20121025,028300,HLB,주권매매거래정지(우회상장여부 및 요건충족확인),suspension_related,html_inline,2012-10-25,2012-10-25,,,,정지기간,1우선주 2.정지사유 우회상장여부 및 요건충족확인 3.정지기간 가.정지일시 2012-10-25 10:36:00 나.만료일시 우회상장여부 통지일까지 4.근거규정 코스닥시장상장규정 제29조 및 동규정시행세칙 제29조 5.기타 -,high,False,extracted,False,,pre_2018,krx_status_html_inline-1.1.0,True,P3_ordinary_suspension,False,
20121026900168,20121026,102120,어보브반도체,주권매매거래정지(우회상장여부 및 요건충족확인),suspension_related,html_inline,2012-10-26,2012-10-26,,,,정지기간, 보통주 2.정지사유 우회상장여부 및 요건충족확인 3.정지기간 가.정지일시 2012-10-26 14:26:00 나.만료일시 우회상장 여부 통지일까지 4.근거규정 코스닥시장상장규정 제29조 및 동규정시행세칙 제29조 5.기타 -,high,False,extracted,False,,pre_2018,krx_status_html_inline-1.1.0,True,P3_ordinary_suspension,False,
20121026900044,20121026,035450,지아이바이오,주권매매거래정지(자본감소),suspension_related,html_inline,2012-10-26,2012-10-26,,,,정지기간,목 (주)지아이바이오 보통주 2.정지사유 자본감소 3.정지기간 가.정지일시 2012-10-26 10:10:00 나.만료일시 매매거래 정지시점부터 30분 경과시점까지 4.근거규정 코스닥시장공시규정 제37조 및 동규정시행세칙 제18조 5.기타 ,high,False,extracted,False,,pre_2018,krx_status_html_inline-1.1.0,True,P3_ordinary_suspension,False,
20121029900350,20121029,003670,포스코퓨처엠,주권매매거래정지(우회상장여부 및 요건충족확인),suspension_related,html_inline,2012-10-29,2012-10-29,,,,정지기간, 보통주 2.정지사유 우회상장여부 및 요건충족확인 3.정지기간 가.정지일시 2012-10-29 17:38:00 나.만료일시 우회상장 여부 통지일까지 4.근거규정 코스닥시장상장규정 제29조 및 동규정시행세칙 제29조 5.기타 -,high,False,extracted,False,,pre_2018,krx_status_html_inline-1.1.0,True,P3_ordinary_suspension,False,
20121101900004,20121101,031330,에스에이엠티,주권매매거래정지(은행관리등),suspension_related,html_inline,2012-11-01,2012-11-01,,,,정지기간, (주)에스에이엠티 보통주 2.정지사유 은행관리등 3.정지기간 가.정지일시 2012-11-01 07:06:00 나.만료일시 정규시장 매매거래 개시시점부터 30분 경과시점까지 4.근거규정 코스닥시장공시규정 제37조 및 동규정시행세칙 제18조 ,high,False,extracted,False,,pre_2018,krx_status_html_inline-1.1.0,True,P3_ordinary_suspension,False,
20121102900087,20121102,054300,팬스타엔터프라이즈,주권매매거래정지(투자자 보호),suspension_related,html_inline,2012-11-02,2012-11-02,,,,정지기간,종목 헤스본(주) 보통주 2.정지사유 투자자 보호 3.정지기간 가.정지일시 2012-11-02 12:14:00 나.만료일시 상장폐지 실질심사 대상여부에 관한 결정일까지 4.근거규정 코스닥시장상장규정 제29조 및 동규정시행세칙 제29조 5.기,high,False,extracted,False,,pre_2018,krx_status_html_inline-1.1.0,True,P3_ordinary_suspension,False,
20121105900369,20121105,038120,에이디모터스,주권매매거래정지(투자자 보호),suspension_related,html_inline,2012-11-05,2012-11-05,,,,정지기간,(주)에이디모터스 보통주 2.정지사유 투자자 보호 3.정지기간 가.정지일시 2012-11-05 17:20:00 나.만료일시 상장폐지 실질심사 대상여부에 관한 결정일까지 4.근거규정 코스닥시장상장규정 제29조 및 동규정시행세칙 제29조 5.기,high,False,extracted,False,,pre_2018,krx_status_html_inline-1.1.0,True,P3_ordinary_suspension,False,
20121105900264,20121105,023410,유진기업,주권매매거래정지(영업양수도),suspension_related,html_inline,2012-11-05,2012-11-05,,,,정지기간,종목 유진기업(주) 보통주 2.정지사유 영업양수도 3.정지기간 가.정지일시 2012-11-05 16:26:00 나.만료일시 장종료시까지 4.근거규정 코스닥시장공시규정 제37조 및 동규정시행세칙 제18조 5.기타 코스닥시장업무규정시행세칙 제2,high,False,extracted,False,,pre_2018,krx_status_html_inline-1.1.0,True,P3_ordinary_suspension,False,
20121108900250,20121108,009010,에듀언스,주권매매거래정지(구주권 제출),suspension_related,html_inline,2012-11-13,2012-11-13,,,,정지기간,목 (주)에듀언스 보통주 2.정지사유 구주권 제출 3.정지기간 가.정지일시 2012-11-13 - 나.만료일시 신주권 변경상장일 전일까지 4.근거규정 코스닥시장업무규정 제25조 및 동규정시행세칙 제30조 5.기타 -,high,False,extracted,False,,pre_2018,krx_status_html_inline-1.1.0,True,P3_ordinary_suspension,False,
