rcept_no,rcept_dt,stock_code,corp_name,event_category,report_nm,source_period,prior_priority_bucket,prior_acquisition_status,prior_parse_status,prior_body_status,correction_flag,correction_pass3_confidence,is_period_change,manual_review_required,remaining_target_reason
20210517900673,2021-05-17,182690,테라셈,suspension_related,주권매매거래정지기간변경(상장적격성 실질심사 대상 (사유발생)),post_2018,P2_period_change,not_attempted_in_this_run,body_unavailable,body_unavailable,False,,True,True,prior_budget_cap
20210518900490,2021-05-18,160600,이큐셀,suspension_related,주권매매거래정지기간변경(감자 주권 변경상장),post_2018,P2_period_change,not_attempted_in_this_run,body_unavailable,body_unavailable,False,,True,True,prior_budget_cap
20210531901006,2021-05-31,053110,소리바다,suspension_related,주권매매거래정지기간변경(개선기간 부여),post_2018,P2_period_change,not_attempted_in_this_run,body_unavailable,body_unavailable,False,,True,True,prior_budget_cap
20210531900999,2021-05-31,045890,금빛,suspension_related,주권매매거래정지기간변경(상장적격성 실질심사 대상 (사유발생)),post_2018,P2_period_change,not_attempted_in_this_run,body_unavailable,body_unavailable,False,,True,True,prior_budget_cap
20210531900916,2021-05-31,208860,다산디엠씨,suspension_related,주권매매거래정지기간변경(상장적격성 실질심사 대상 (사유발생)),post_2018,P2_period_change,not_attempted_in_this_run,body_unavailable,body_unavailable,False,,True,True,prior_budget_cap
20210601900637,2021-06-01,950160,코오롱티슈진,suspension_related,주권매매거래정지기간변경(형식적 상장폐지 사유 해소),post_2018,P2_period_change,not_attempted_in_this_run,body_unavailable,body_unavailable,False,,True,True,prior_budget_cap
20210601900440,2021-06-01,900100,파이온엑스,suspension_related,주권매매거래정지기간변경(액면병합 주권 변경상장),post_2018,P2_period_change,not_attempted_in_this_run,body_unavailable,body_unavailable,False,,True,True,prior_budget_cap
20210601900108,2021-06-01,086250,화신테크,suspension_related,주권매매거래정지기간변경(회생절차 개시신청),post_2018,P2_period_change,not_attempted_in_this_run,body_unavailable,body_unavailable,False,,True,True,prior_budget_cap
20210602900595,2021-06-02,064510,유네코,suspension_related,주권매매거래정지기간변경(개선기간 부여),post_2018,P2_period_change,not_attempted_in_this_run,body_unavailable,body_unavailable,False,,True,True,prior_budget_cap
20210602900607,2021-06-02,033340,좋은사람들,suspension_related,주권매매거래정지기간변경(회생절차 개시신청),post_2018,P2_period_change,not_attempted_in_this_run,body_unavailable,body_unavailable,False,,True,True,prior_budget_cap
20210604600369,2021-06-04,224760,엔에스컴퍼니,suspension_related,주권매매거래정지기간변경(개선계획 이행내역서 제출),post_2018,P2_period_change,not_attempted_in_this_run,body_unavailable,body_unavailable,False,,True,True,prior_budget_cap
20210608900493,2021-06-08,223310,사토시홀딩스,suspension_related,주권매매거래정지기간변경(상장폐지 사유 발생),post_2018,P2_period_change,not_attempted_in_this_run,body_unavailable,body_unavailable,False,,True,True,prior_budget_cap
20210608900477,2021-06-08,087730,이엠네트웍스,suspension_related,주권매매거래정지기간변경(개선기간 부여),post_2018,P2_period_change,not_attempted_in_this_run,body_unavailable,body_unavailable,False,,True,True,prior_budget_cap
20210610900088,2021-06-10,066110,한프,suspension_related,주권매매거래정지기간변경(파산신청 사유 해소),post_2018,P2_period_change,not_attempted_in_this_run,body_unavailable,body_unavailable,False,,True,True,prior_budget_cap
20210611900593,2021-06-11,065560,녹원씨엔아이,suspension_related,주권매매거래정지기간변경(개선기간 부여),post_2018,P2_period_change,not_attempted_in_this_run,body_unavailable,body_unavailable,False,,True,True,prior_budget_cap
20210611900592,2021-06-11,160600,이큐셀,suspension_related,주권매매거래정지기간변경(개선기간 부여),post_2018,P2_period_change,not_attempted_in_this_run,body_unavailable,body_unavailable,False,,True,True,prior_budget_cap
20210611900591,2021-06-11,006580,대양제지공업,suspension_related,주권매매거래정지기간변경(개선기간 부여),post_2018,P2_period_change,not_attempted_in_this_run,body_unavailable,body_unavailable,False,,True,True,prior_budget_cap
20210618900589,2021-06-18,043590,웰킵스하이텍,suspension_related,주권매매거래정지기간변경(상장적격성 실질심사 대상 결정),post_2018,P2_period_change,not_attempted_in_this_run,body_unavailable,body_unavailable,False,,True,True,prior_budget_cap
20210621900510,2021-06-21,053110,소리바다,suspension_related,"주권매매거래정지기간변경(주식의 병합, 분할 등 전자등록 변경, 말소)",post_2018,P2_period_change,not_attempted_in_this_run,body_unavailable,body_unavailable,False,,True,True,prior_budget_cap
20210622900547,2021-06-22,032790,엠젠솔루션,suspension_related,주권매매거래정지기간변경(상장폐지 사유 발생),post_2018,P2_period_change,not_attempted_in_this_run,body_unavailable,body_unavailable,False,,True,True,prior_budget_cap
20210622900481,2021-06-22,114190,강원에너지,suspension_related,주권매매거래정지기간변경(상장적격성 실질심사 대상 결정),post_2018,P2_period_change,not_attempted_in_this_run,body_unavailable,body_unavailable,False,,True,True,prior_budget_cap
20210623900616,2021-06-23,158310,참존글로벌,suspension_related,주권매매거래정지기간변경(상장폐지 사유 해소),post_2018,P2_period_change,not_attempted_in_this_run,body_unavailable,body_unavailable,False,,True,True,prior_budget_cap
20210623900610,2021-06-23,053110,소리바다,suspension_related,주권매매거래정지기간변경(상장적격성 실질심사 대상 (사유발생)),post_2018,P2_period_change,not_attempted_in_this_run,body_unavailable,body_unavailable,False,,True,True,prior_budget_cap
20210625900325,2021-06-25,158310,참존글로벌,suspension_related,"주권매매거래정지기간변경(주식의 병합, 분할 등 전자등록 변경, 말소)",post_2018,P2_period_change,not_attempted_in_this_run,body_unavailable,body_unavailable,False,,True,True,prior_budget_cap
20210628900356,2021-06-28,115180,큐리언트,suspension_related,주권매매거래정지기간변경(상장적격성 실질심사 대상 결정),post_2018,P2_period_change,not_attempted_in_this_run,body_unavailable,body_unavailable,False,,True,True,prior_budget_cap
20210630901024,2021-06-30,046970,우리로,suspension_related,주권매매거래정지기간변경(상장폐지 사유 해소),post_2018,P2_period_change,not_attempted_in_this_run,body_unavailable,body_unavailable,False,,True,True,prior_budget_cap
20210705900586,2021-07-05,900100,파이온엑스,suspension_related,주권매매거래정지기간변경(상장폐지 사유 해소),post_2018,P2_period_change,not_attempted_in_this_run,body_unavailable,body_unavailable,False,,True,True,prior_budget_cap
20210713900426,2021-07-13,950160,코오롱티슈진,suspension_related,주권매매거래정지기간변경(상장적격성 실질심사 대상 결정),post_2018,P2_period_change,not_attempted_in_this_run,body_unavailable,body_unavailable,False,,True,True,prior_budget_cap
20210720900287,2021-07-20,053110,소리바다,suspension_related,주권매매거래정지기간변경(감자 주권 변경상장),post_2018,P2_period_change,not_attempted_in_this_run,body_unavailable,body_unavailable,False,,True,True,prior_budget_cap
20210722900492,2021-07-22,158310,참존글로벌,suspension_related,주권매매거래정지기간변경(감자 주권 변경상장),post_2018,P2_period_change,not_attempted_in_this_run,body_unavailable,body_unavailable,False,,True,True,prior_budget_cap
20210723900620,2021-07-23,035290,골드앤에스,suspension_related,주권매매거래정지기간변경(형식적 상장폐지 사유 해소),post_2018,P2_period_change,not_attempted_in_this_run,body_unavailable,body_unavailable,False,,True,True,prior_budget_cap
20210730900736,2021-07-30,046970,우리로,suspension_related,주권매매거래정지기간변경(상장적격성 실질심사 대상 결정),post_2018,P2_period_change,not_attempted_in_this_run,body_unavailable,body_unavailable,False,,True,True,prior_budget_cap
20210804900422,2021-08-04,158310,참존글로벌,suspension_related,주권매매거래정지기간변경(상장적격성 실질심사 대상 결정),post_2018,P2_period_change,not_attempted_in_this_run,body_unavailable,body_unavailable,False,,True,True,prior_budget_cap
20210806900493,2021-08-06,043590,웰킵스하이텍,suspension_related,주권매매거래정지기간변경(개선기간 부여),post_2018,P2_period_change,not_attempted_in_this_run,body_unavailable,body_unavailable,False,,True,True,prior_budget_cap
20210806900492,2021-08-06,114190,강원에너지,suspension_related,주권매매거래정지기간변경(개선기간 부여),post_2018,P2_period_change,not_attempted_in_this_run,body_unavailable,body_unavailable,False,,True,True,prior_budget_cap
20210813901461,2021-08-13,066110,한프,suspension_related,주권매매거래정지기간변경(상장폐지 사유 발생),post_2018,P2_period_change,not_attempted_in_this_run,body_unavailable,body_unavailable,False,,True,True,prior_budget_cap
