date,cash,mtm_value,gross_value,net_value,n_positions,d013_baseline_net_value,d013_gold_sleeve_net_value,gold_sleeve_factor
2011-11-09,1.1319517481721775,0.0,1.1319517481721775,1.1319517481721775,0,1.0,1.1319517481721775,1.1319517481721775
2011-11-10,1.1311100273674903,0.0,1.1311100273674903,1.1311100273674903,0,1.0,1.1311100273674903,1.1311100273674903
2011-11-11,1.1302689324674977,0.0,1.1302689324674977,1.1302689324674977,0,1.0,1.1302689324674977,1.1302689324674977
2011-11-14,1.129428463006776,0.0,1.129428463006776,1.129428463006776,0,1.0,1.129428463006776,1.129428463006776
2011-11-15,1.1285886185202476,0.0,1.1285886185202476,1.1285886185202476,0,1.0,1.1285886185202476,1.1285886185202476
2011-11-16,1.127749398543181,0.0,1.127749398543181,1.127749398543181,0,1.0,1.127749398543181,1.127749398543181
2011-11-17,1.1269108026111903,0.0,1.1269108026111903,1.1269108026111903,0,1.0,1.1269108026111903,1.1269108026111903
2011-11-18,1.1260728302602343,0.0,1.1260728302602343,1.1260728302602343,0,1.0,1.1260728302602343,1.1260728302602343
2011-11-21,1.1252354810266179,0.0,1.1252354810266179,1.1252354810266179,0,1.0,1.1252354810266179,1.1252354810266179
2011-11-22,1.1243987544469898,0.0,1.1243987544469898,1.1243987544469898,0,1.0,1.1243987544469898,1.1243987544469898
2011-11-23,1.1235626500583438,0.0,1.1235626500583438,1.1235626500583438,0,1.0,1.1235626500583438,1.1235626500583438
2011-11-24,1.122727167398018,0.0,1.122727167398018,1.122727167398018,0,1.0,1.122727167398018,1.122727167398018
2011-11-25,1.121892306003694,0.0,1.121892306003694,1.121892306003694,0,1.0,1.121892306003694,1.121892306003694
2011-11-28,1.1210580654133981,0.0,1.1210580654133981,1.1210580654133981,0,1.0,1.1210580654133981,1.1210580654133981
2011-11-29,1.1202244451654995,0.0,1.1202244451654995,1.1202244451654995,0,1.0,1.1202244451654995,1.1202244451654995
2011-11-30,1.1193914447987106,0.0,1.1193914447987106,1.1193914447987106,0,1.0,1.1193914447987106,1.1193914447987106
2011-12-01,1.118559063852087,0.0,1.118559063852087,1.118559063852087,0,1.0,1.118559063852087,1.118559063852087
2011-12-02,1.1177273018650271,0.0,1.1177273018650271,1.1177273018650271,0,1.0,1.1177273018650271,1.1177273018650271
2011-12-05,1.1168961583772719,0.0,1.1168961583772719,1.1168961583772719,0,1.0,1.1168961583772719,1.1168961583772719
2011-12-06,1.1160656329289043,0.0,1.1160656329289043,1.1160656329289043,0,1.0,1.1160656329289043,1.1160656329289043
2011-12-07,1.1152357250603495,0.0,1.1152357250603495,1.1152357250603495,0,1.0,1.1152357250603495,1.1152357250603495
2011-12-08,1.1144064343123743,0.0,1.1144064343123743,1.1144064343123743,0,1.0,1.1144064343123743,1.1144064343123743
2011-12-09,1.113577760226087,0.0,1.113577760226087,1.113577760226087,0,1.0,1.113577760226087,1.113577760226087
2011-12-12,1.1127497023429374,0.0,1.1127497023429374,1.1127497023429374,0,1.0,1.1127497023429374,1.1127497023429374
2011-12-13,1.1119222602047156,0.0,1.1119222602047156,1.1119222602047156,0,1.0,1.1119222602047156,1.1119222602047156
2011-12-14,1.1110954333535532,0.0,1.1110954333535532,1.1110954333535532,0,1.0,1.1110954333535532,1.1110954333535532
2011-12-15,1.1102692213319219,0.0,1.1102692213319219,1.1102692213319219,0,1.0,1.1102692213319219,1.1102692213319219
2011-12-16,1.1094436236826335,0.0,1.1094436236826335,1.1094436236826335,0,1.0,1.1094436236826335,1.1094436236826335
2011-12-19,1.10861863994884,0.0,1.10861863994884,1.10861863994884,0,1.0,1.10861863994884,1.10861863994884
2011-12-20,1.1077942696740333,0.0,1.1077942696740333,1.1077942696740333,0,1.0,1.1077942696740333,1.1077942696740333
2011-12-21,1.1069705124020441,0.0,1.1069705124020441,1.1069705124020441,0,1.0,1.1069705124020441,1.1069705124020441
2011-12-22,1.1061473676770428,0.0,1.1061473676770428,1.1061473676770428,0,1.0,1.1061473676770428,1.1061473676770428
2011-12-23,1.1053248350435387,0.0,1.1053248350435387,1.1053248350435387,0,1.0,1.1053248350435387,1.1053248350435387
2011-12-26,1.1045029140463798,0.0,1.1045029140463798,1.1045029140463798,0,1.0,1.1045029140463798,1.1045029140463798
2011-12-27,1.1036816042307525,0.0,1.1036816042307525,1.1036816042307525,0,1.0,1.1036816042307525,1.1036816042307525
2011-12-28,1.1028609051421814,0.0,1.1028609051421814,1.1028609051421814,0,1.0,1.1028609051421814,1.1028609051421814
2011-12-29,1.102040816326529,0.0,1.102040816326529,1.102040816326529,0,1.0,1.102040816326529,1.102040816326529
2012-01-02,1.103255850082577,0.0,1.103255850082577,1.103255850082577,0,1.0,1.103255850082577,1.103255850082577
2012-01-03,1.1044722234505584,0.0,1.1044722234505584,1.1044722234505584,0,1.0,1.1044722234505584,1.1044722234505584
2012-01-04,1.105689937907436,0.0,1.105689937907436,1.105689937907436,0,1.0,1.105689937907436,1.105689937907436
2012-01-05,1.1069089949318016,0.0,1.1069089949318016,1.1069089949318016,0,1.0,1.1069089949318016,1.1069089949318016
2012-01-06,1.1081293960038767,0.0,1.1081293960038767,1.1081293960038767,0,1.0,1.1081293960038767,1.1081293960038767
2012-01-09,1.1093511426055154,0.0,1.1093511426055154,1.1093511426055154,0,1.0,1.1093511426055154,1.1093511426055154
2012-01-10,1.110574236220205,0.0,1.110574236220205,1.110574236220205,0,1.0,1.110574236220205,1.110574236220205
2012-01-11,1.1117986783330687,0.0,1.1117986783330687,1.1117986783330687,0,1.0,1.1117986783330687,1.1117986783330687
2012-01-12,1.1130244704308672,0.0,1.1130244704308672,1.1130244704308672,0,1.0,1.1130244704308672,1.1130244704308672
2012-01-13,1.114251614002,0.0,1.114251614002,1.114251614002,0,1.0,1.114251614002,1.114251614002
2012-01-16,1.115480110536508,0.0,1.115480110536508,1.115480110536508,0,1.0,1.115480110536508,1.115480110536508
2012-01-17,1.1167099615260747,0.0,1.1167099615260747,1.1167099615260747,0,1.0,1.1167099615260747,1.1167099615260747
2012-01-18,1.1179411684640284,0.0,1.1179411684640284,1.1179411684640284,0,1.0,1.1179411684640284,1.1179411684640284
2012-01-19,1.1191737328453437,0.0,1.1191737328453437,1.1191737328453437,0,1.0,1.1191737328453437,1.1191737328453437
2012-01-20,1.1204076561666434,0.0,1.1204076561666434,1.1204076561666434,0,1.0,1.1204076561666434,1.1204076561666434
2012-01-25,1.1216429399262005,0.0,1.1216429399262005,1.1216429399262005,0,1.0,1.1216429399262005,1.1216429399262005
2012-01-26,1.12287958562394,0.0,1.12287958562394,1.12287958562394,0,1.0,1.12287958562394,1.12287958562394
2012-01-27,1.1241175947614401,0.0,1.1241175947614401,1.1241175947614401,0,1.0,1.1241175947614401,1.1241175947614401
2012-01-30,1.1253569688419354,0.0,1.1253569688419354,1.1253569688419354,0,1.0,1.1253569688419354,1.1253569688419354
2012-01-31,1.126597709370317,0.0,1.126597709370317,1.126597709370317,0,1.0,1.126597709370317,1.126597709370317
2012-02-01,1.1278398178531355,0.0,1.1278398178531355,1.1278398178531355,0,1.0,1.1278398178531355,1.1278398178531355
2012-02-02,1.1290832957986028,0.0,1.1290832957986028,1.1290832957986028,0,1.0,1.1290832957986028,1.1290832957986028
2012-02-03,1.1303281447165932,0.0,1.1303281447165932,1.1303281447165932,0,1.0,1.1303281447165932,1.1303281447165932
2012-02-06,1.1315743661186461,0.0,1.1315743661186461,1.1315743661186461,0,1.0,1.1315743661186461,1.1315743661186461
2012-02-07,1.132821961517967,0.0,1.132821961517967,1.132821961517967,0,1.0,1.132821961517967,1.132821961517967
2012-02-08,1.1340709324294302,0.0,1.1340709324294302,1.1340709324294302,0,1.0,1.1340709324294302,1.1340709324294302
2012-02-09,1.13532128036958,0.0,1.13532128036958,1.13532128036958,0,1.0,1.13532128036958,1.13532128036958
2012-02-10,1.1365730068566324,0.0,1.1365730068566324,1.1365730068566324,0,1.0,1.1365730068566324,1.1365730068566324
2012-02-13,1.137826113410478,0.0,1.137826113410478,1.137826113410478,0,1.0,1.137826113410478,1.137826113410478
2012-02-14,1.1390806015526822,0.0,1.1390806015526822,1.1390806015526822,0,1.0,1.1390806015526822,1.1390806015526822
2012-02-15,1.1403364728064889,0.0,1.1403364728064889,1.1403364728064889,0,1.0,1.1403364728064889,1.1403364728064889
2012-02-16,1.1415937286968207,0.0,1.1415937286968207,1.1415937286968207,0,1.0,1.1415937286968207,1.1415937286968207
2012-02-17,1.1428523707502822,0.0,1.1428523707502822,1.1428523707502822,0,1.0,1.1428523707502822,1.1428523707502822
2012-02-20,1.1441124004951604,0.0,1.1441124004951604,1.1441124004951604,0,1.0,1.1441124004951604,1.1441124004951604
2012-02-21,1.1453738194614276,0.0,1.1453738194614276,1.1453738194614276,0,1.0,1.1453738194614276,1.1453738194614276
2012-02-22,1.146636629180743,0.0,1.146636629180743,1.146636629180743,0,1.0,1.146636629180743,1.146636629180743
2012-02-23,1.1479008311864545,0.0,1.1479008311864545,1.1479008311864545,0,1.0,1.1479008311864545,1.1479008311864545
2012-02-24,1.1491664270136004,0.0,1.1491664270136004,1.1491664270136004,0,1.0,1.1491664270136004,1.1491664270136004
2012-02-27,1.1504334181989115,0.0,1.1504334181989115,1.1504334181989115,0,1.0,1.1504334181989115,1.1504334181989115
2012-02-28,1.151701806280813,0.0,1.151701806280813,1.151701806280813,0,1.0,1.151701806280813,1.151701806280813
2012-02-29,1.1529715927994262,0.0,1.1529715927994262,1.1529715927994262,0,1.0,1.1529715927994262,1.1529715927994262
2012-03-02,1.1542427792965702,0.0,1.1542427792965702,1.1542427792965702,0,1.0,1.1542427792965702,1.1542427792965702
2012-03-05,1.1555153673157643,0.0,1.1555153673157643,1.1555153673157643,0,1.0,1.1555153673157643,1.1555153673157643
2012-03-06,1.1567893584022297,0.0,1.1567893584022297,1.1567893584022297,0,1.0,1.1567893584022297,1.1567893584022297
2012-03-07,1.158064754102891,0.0,1.158064754102891,1.158064754102891,0,1.0,1.158064754102891,1.158064754102891
2012-03-08,1.1593415559663782,0.0,1.1593415559663782,1.1593415559663782,0,1.0,1.1593415559663782,1.1593415559663782
2012-03-09,1.160619765543029,0.0,1.160619765543029,1.160619765543029,0,1.0,1.160619765543029,1.160619765543029
2012-03-12,1.1618993843848902,0.0,1.1618993843848902,1.1618993843848902,0,1.0,1.1618993843848902,1.1618993843848902
2012-03-13,1.1631804140457198,0.0,1.1631804140457198,1.1631804140457198,0,1.0,1.1631804140457198,1.1631804140457198
2012-03-14,1.164462856080989,0.0,1.164462856080989,1.164462856080989,0,1.0,1.164462856080989,1.164462856080989
2012-03-15,1.1657467120478842,0.0,1.1657467120478842,1.1657467120478842,0,1.0,1.1657467120478842,1.1657467120478842
2012-03-16,1.1670319835053078,0.0,1.1670319835053078,1.1670319835053078,0,1.0,1.1670319835053078,1.1670319835053078
2012-03-19,1.1683186720138818,0.0,1.1683186720138818,1.1683186720138818,0,1.0,1.1683186720138818,1.1683186720138818
2012-03-20,1.1696067791359483,0.0,1.1696067791359483,1.1696067791359483,0,1.0,1.1696067791359483,1.1696067791359483
