pdno,ticker,prdt_name,kis_mcls,ksic,final_sector_code,final_sector_name,mapping_source
00000A111770,111770,영원무역보통주,,상품 종합 도매업,09,소비재/유통,ksic_fallback
00000A112610,112610,씨에스윈드보통주,,"구조용 금속제품, 탱크 및 증기발생기 제조업",05,조선/기계/산업재,ksic_fallback
00000A114090,114090,그랜드코리아레저보통주,,유원지 및 기타 오락관련 서비스업,09,소비재/유통,ksic_fallback
00000A115390,115390,락앤락보통주,,플라스틱제품 제조업,03,2차전지/화학/소재,ksic_fallback
00000A117580,117580,대성에너지보통주,,가스 제조 및 배관공급업,11,에너지/유틸리티,ksic_fallback
00000A117930,117930,한진해운보통주,,해상 운송업,05,조선/기계/산업재,ksic_fallback
00000A118000,118000,메타케어보통주,,기계장비 및 관련 물품 도매업,05,조선/기계/산업재,ksic_fallback
00000A119650,119650,케이씨코트렐보통주,,일반 목적용 기계 제조업,05,조선/기계/산업재,ksic_fallback
00000A120030,120030,조선선재 보통주,,기타 금속가공제품 제조업,04,철강금속,ksic_fallback
00000A120110,120110,코오롱인더스트리보통주,,화학섬유 제조업,03,2차전지/화학/소재,ksic_fallback
00000A122900,122900,아이마켓코리아보통주,,상품 종합 도매업,09,소비재/유통,ksic_fallback
00000A123690,123690,한국화장품보통주,,가정용품 도매업,09,소비재/유통,ksic_fallback
00000A123700,123700,SJM보통주,,자동차 부품 제조업,02,자동차/운송장비,ksic_fallback
00000A123890,123890,한국자산신탁보통주,,투자기관,06,금융,ksic_fallback
00000A126560,126560,현대퓨처넷보통주,,전기통신업,08,인터넷/게임/SW,ksic_fallback
00000A126720,126720,수산인더스트리보통주,,전기 및 통신 공사업,05,조선/기계/산업재,ksic_fallback
00000A128820,128820,대성산업보통주,,연료 소매업,11,에너지/유틸리티,ksic_fallback
00000A128940,128940,한미약품보통주,,의약품 제조업,07,헬스케어,ksic_fallback
00000A129260,129260,인터지스보통주,,도로 화물 운송업,05,조선/기계/산업재,ksic_fallback
00000A130660,130660,한전산업개발보통주,,"건축기술, 엔지니어링 및 관련기술 서비스업",05,조선/기계/산업재,ksic_fallback
00000A133820,133820,화인베스틸보통주,,1차 철강 제조업,04,철강금속,ksic_fallback
00000A134380,134380,미원화학보통주,,기타 화학제품 제조업,03,2차전지/화학/소재,ksic_fallback
00000A134790,134790,시디즈보통주,,가구 제조업,09,소비재/유통,ksic_fallback
00000A136490,136490,선진보통주,,,10,음식료,ksic_fallback
00000A137310,137310,에스디바이오센서보통주,,의료용 기기 제조업,07,헬스케어,ksic_fallback
00000A138250,138250,엔에스쇼핑보통주,,무점포 소매업,09,소비재/유통,ksic_fallback
00000A138490,138490,코오롱이앤피보통주,,비료 및 질소화합물 제조업,03,2차전지/화학/소재,ksic_fallback
00000A138930,138930,BNK금융지주보통주,,기타 금융업,06,금융,ksic_fallback
00000A139130,139130,아이엠금융지주보통주,,기타 금융업,06,금융,ksic_fallback
00000A139480,139480,이마트보통주,,종합 소매업,09,소비재/유통,ksic_fallback
00000A139990,139990,아주스틸보통주,,1차 철강 제조업,04,철강금속,ksic_fallback
00000A143210,143210,핸즈코퍼레이션보통주,,자동차 부품 제조업,02,자동차/운송장비,ksic_fallback
00000A144620,144620,코오롱머티리얼보통주,,화학섬유 제조업,03,2차전지/화학/소재,ksic_fallback
00000A145210,145210,다이나믹디자인보통주,,특수 목적용 기계 제조업,05,조선/기계/산업재,ksic_fallback
00000A145720,145720,덴티움보통주,,의료용 기기 제조업,07,헬스케어,ksic_fallback
00000A145990,145990,삼양사보통주,,동물용 사료 및 조제식품 제조업,10,음식료,ksic_fallback
00000A152330,152330,코리아오토글라스보통주,,유리 및 유리제품 제조업,03,2차전지/화학/소재,ksic_fallback
00000A152550,152550,한국투자ANKOR유전해외자원개발특별자산투자회사1호(지분증권),,투자기관,06,금융,ksic_fallback
00000A153360,153360,하이골드오션3호선박투자회사,,,05,조선/기계/산업재,ksic_fallback
00000A155660,155660,DSR보통주,,1차 비철금속 제조업,04,철강금속,ksic_fallback
00000A159650,159650,하이골드오션8호국제선박투자회사,,,05,조선/기계/산업재,ksic_fallback
00000A161000,161000,애경케미칼보통주,,기초화학물질 제조업,03,2차전지/화학/소재,ksic_fallback
00000A161390,161390,한국타이어앤테크놀로지보통주,,고무제품 제조업,02,자동차/운송장비,ksic_fallback
00000A161890,161890,한국콜마보통주,,기타 화학제품 제조업,03,2차전지/화학/소재,ksic_fallback
00000A163560,163560,동일고무벨트보통주,,고무제품 제조업,02,자동차/운송장비,ksic_fallback
00000A168490,168490,한국투자Parallel유전해외자원개발특별자산투자회사1호,,투자기관,06,금융,ksic_fallback
00000A170900,170900,동아에스티보통주,,의약품 제조업,07,헬스케어,ksic_fallback
00000A172580,172580,하이골드오션12호국제선박투자회사,,,05,조선/기계/산업재,ksic_fallback
00000A175330,175330,JB금융지주보통주,,기타 금융업,06,금융,ksic_fallback
00000A178920,178920,피아이첨단소재보통주,,플라스틱제품 제조업,03,2차전지/화학/소재,ksic_fallback
00000A180640,180640,한진칼보통주,,기타 금융업,06,금융,ksic_fallback
00000A181710,181710,NHN보통주,,소프트웨어 개발 및 공급업,08,인터넷/게임/SW,ksic_fallback
00000A183190,183190,아세아시멘트보통주,,"시멘트, 석회, 플라스터 및 그 제품 제조업",03,2차전지/화학/소재,ksic_fallback
00000A185750,185750,종근당보통주,,의약품 제조업,07,헬스케어,ksic_fallback
00000A192080,192080,더블유게임즈보통주,,소프트웨어 개발 및 공급업,08,인터넷/게임/SW,ksic_fallback
00000A192400,192400,쿠쿠홀딩스보통주,,기타 금융업,06,금융,ksic_fallback
00000A192520,192520,경남은행보통주,,은행 및 저축기관,06,금융,ksic_fallback
00000A192530,192530,광주은행보통주,,은행 및 저축기관,06,금융,ksic_fallback
00000A192650,192650,드림텍보통주,,전자부품 제조업,01,반도체/IT하드웨어,ksic_fallback
00000A192820,192820,코스맥스보통주,,기타 화학제품 제조업,03,2차전지/화학/소재,ksic_fallback
00000A194370,194370,제이에스코퍼레이션보통주,,"가죽, 가방 및 유사제품 제조업",09,소비재/유통,ksic_fallback
00000A195870,195870,해성디에스보통주,,전자부품 제조업,01,반도체/IT하드웨어,ksic_fallback
00000A200880,200880,서연이화보통주,,자동차 부품 제조업,02,자동차/운송장비,ksic_fallback
00000A204320,204320,HL만도보통주,,자동차 부품 제조업,02,자동차/운송장비,ksic_fallback
