scenario,label,date,tax_year,component,original_lot_id,replacement_lot_id,original_buy_date,qty,buy_price_krw,sell_price_krw,unrealized_return,realized_loss_krw,sell_commission_krw,buy_commission_krw,total_tlh_commission_krw,same_etf_immediate_repurchase
T003-C,Quarter-end TLH: all loss lots,2022-12-30,2022,IEF,136,159,2021-03-31,35.349363993274345,110499.83698974608,107534.37292053223,-0.02683681849674613,-104827.26879161687,9503.179225390995,9503.179225390995,19006.35845078199,True
T003-C,Quarter-end TLH: all loss lots,2022-12-30,2022,IEF,137,160,2021-03-31,94.75139728761137,110499.83698974608,107534.37292053223,-0.02683681849674613,-280981.8641642181,25472.580226668768,25472.580226668768,50945.160453337536,True
T003-C,Quarter-end TLH: all loss lots,2023-06-30,2023,IEF,164,165,2023-04-03,23.02124363340605,117284.98677520752,114661.02676391602,-0.02237251402279372,-60406.82270425667,6599.098580971506,6599.098580971506,13198.197161943011,True
T003-C,Quarter-end TLH: all loss lots,2023-09-29,2023,IEF,165,168,2023-06-30,23.02124363340605,114661.02676391602,112030.29121032714,-0.022943589708170786,-60562.80411423291,6447.691570685924,6447.691570685924,12895.383141371847,True
T003-C,Quarter-end TLH: all loss lots,2023-09-29,2023,IEF,167,169,2023-07-03,72.1213156556251,113346.7247731781,112030.29121032714,-0.01161421792720807,-94942.92052603312,20199.429988429012,20199.429988429012,40398.859976858024,True
T003-C,Quarter-end TLH: all loss lots,2026-03-31,2026,QQQ,185,187,2026-01-02,7.866257824503776,884505.9247192383,879333.7188415527,-0.0058475649886995384,-40685.90495528854,17292.664365468423,17292.664365468423,34585.328730936846,True
T003-C,Quarter-end TLH: all loss lots,2026-05-18,2026,IEF,190,191,2026-04-01,34.16615931078928,143163.06909347535,138168.0653034973,-0.03489030950235261,-170660.0952463861,11801.680327057065,11801.680327057065,23603.36065411413,True
T003-D,Year-end TLH: loss <= -5%,2012-12-31,2012,QQQ,25,28,2012-07-02,10.188421182075134,65319.738951873784,61995.359988861084,-0.0508939413469186,-33870.17304400355,1579.0870972522139,1579.0870972522139,3158.1741945044278,True
T003-D,Year-end TLH: loss <= -5%,2013-12-31,2013,IEF,32,36,2013-04-01,5.2956667048128665,90041.2527433777,79769.9584980011,-0.11407320458601711,-54393.35095057686,1056.0877831554214,1056.0877831554214,2112.175566310843,True
T003-D,Year-end TLH: loss <= -5%,2013-12-31,2013,IEF,27,37,2012-10-01,14.61591497574333,90030.81743766785,79769.9584980011,-0.11397051844798345,-149971.84184026512,2914.7773275633954,2914.7773275633954,5829.554655126791,True
T003-D,Year-end TLH: loss <= -5%,2013-12-31,2013,IEF,34,38,2013-07-01,23.435995013593356,87739.30280036926,79769.9584980011,-0.0908298111337924,-186769.51333190885,4673.720873984257,4673.720873984257,9347.441747968514,True
T003-D,Year-end TLH: loss <= -5%,2013-12-31,2013,IEF,23,39,2012-04-02,42.67102610641316,86017.09293937683,79769.9584980011,-0.07262666323516176,-266571.6368382167,8509.664953939247,8509.664953939247,17019.329907878495,True
T003-D,Year-end TLH: loss <= -5%,2013-12-31,2013,IEF,30,40,2013-01-02,9.020687515198842,85201.02545394897,79769.9584980011,-0.06374415010865508,-48991.95788372793,1798.9496717771208,1798.9496717771208,3597.8993435542416,True
T003-D,Year-end TLH: loss <= -5%,2017-12-29,2017,IEF,64,70,2017-01-02,20.03523405173865,101751.07502105713,92532.26442565919,-0.09060160389941951,-184701.02795744585,4634.76393776363,4634.76393776363,9269.52787552726,True
T003-D,Year-end TLH: loss <= -5%,2017-12-29,2017,IEF,57,71,2016-01-04,4.1595342662114465,100140.08045822143,92532.26442565919,-0.07597173876584051,-31644.971478475476,962.2278115216695,962.2278115216695,1924.455623043339,True
T003-D,Year-end TLH: loss <= -5%,2017-12-29,2017,IEF,69,72,2017-10-02,16.00407942461324,99529.20384475708,92532.26442565919,-0.07030036560938968,-111979.57419244992,3702.2342730189102,3702.2342730189102,7404.4685460378205,True
T003-D,Year-end TLH: loss <= -5%,2017-12-29,2017,IEF,67,73,2017-07-03,9.323205904232646,99176.58206512452,92532.26442565919,-0.06699482378917154,-61946.34144586026,2156.743385063305,2156.743385063305,4313.48677012661,True
T003-D,Year-end TLH: loss <= -5%,2017-12-29,2017,IEF,62,74,2016-10-03,23.58002081418713,98876.04147430419,92532.26442565919,-0.06415888979833018,-149586.39484761175,5454.781802852277,5454.781802852277,10909.563605704554,True
T003-D,Year-end TLH: loss <= -5%,2020-12-31,2020,IEF,93,96,2020-07-01,131.8811672695711,126206.67888793944,112995.69514511107,-0.10467737412342959,-1742279.956783534,37255.01043043464,37255.01043043464,74510.02086086928,True
T003-D,Year-end TLH: loss <= -5%,2020-12-31,2020,IEF,95,97,2020-10-01,35.5123438814117,122642.43879280088,112995.69514511107,-0.07865746753444436,-342578.4777525846,10031.854957780868,10031.854957780868,20063.709915561736,True
T003-D,Year-end TLH: loss <= -5%,2022-12-30,2022,QQQ,111,114,2022-07-01,21.596903579743863,357539.03783203126,329202.64234863286,-0.0792539904319779,-611978.4010524448,17774.39431250082,17774.39431250082,35548.78862500164,True
T003-D,Year-end TLH: loss <= -5%,2022-12-30,2022,IEF,113,115,2022-10-03,3.921954319693191,123168.68097602844,107534.37292053223,-0.12693411938493537,-61317.0420136674,1054.3622459779497,1054.3622459779497,2108.7244919558993,True
T003-E,Year-end TLH: loss <= -10%,2013-12-31,2013,IEF,31,35,2013-04-01,5.295799857064311,90041.2527433777,79769.9584980011,-0.11407320458601711,-54394.71859653088,1056.1143370293505,1056.1143370293505,2112.228674058701,True
T003-E,Year-end TLH: loss <= -10%,2013-12-31,2013,IEF,27,36,2012-10-01,14.61591497574333,90030.81743766785,79769.9584980011,-0.11397051844798345,-149971.84184026512,2914.7773275633954,2914.7773275633954,5829.554655126791,True
T003-E,Year-end TLH: loss <= -10%,2020-12-31,2020,IEF,84,87,2020-07-01,131.94747021708065,126206.67888793944,112995.69514511107,-0.10467737412342959,-1743155.8839451843,37273.74029954467,37273.74029954467,74547.48059908934,True
T003-E,Year-end TLH: loss <= -10%,2022-12-30,2022,IEF,103,104,2022-10-03,3.9492674069942253,123168.68097602844,107534.37292053223,-0.12693411938493537,-61744.06323447843,1061.704985266551,1061.704985266551,2123.409970533102,True
