rcept_no,prior_parse_status,prior_taxonomy_class,prior_feasibility_bucket,body_format,body_locally_available,provenance
20130930800008,label_no_value,label_present_but_attachment_or_table_context_required,needs_table_context_design,html_inline,True,KR_STATUS_PARSER_NONEXTRACTED_FEASIBILITY_A0/parser_nonextracted_feasibility_matrix.csv + input_manifest.csv
20130930800006,label_no_value,label_present_but_attachment_or_table_context_required,needs_table_context_design,html_inline,True,KR_STATUS_PARSER_NONEXTRACTED_FEASIBILITY_A0/parser_nonextracted_feasibility_matrix.csv + input_manifest.csv
20131114801425,label_no_value,label_present_but_attachment_or_table_context_required,needs_table_context_design,html_inline,True,KR_STATUS_PARSER_NONEXTRACTED_FEASIBILITY_A0/parser_nonextracted_feasibility_matrix.csv + input_manifest.csv
20140326800718,label_no_value,label_present_but_attachment_or_table_context_required,needs_table_context_design,html_inline,True,KR_STATUS_PARSER_NONEXTRACTED_FEASIBILITY_A0/parser_nonextracted_feasibility_matrix.csv + input_manifest.csv
20140324800007,label_no_value,label_present_but_attachment_or_table_context_required,needs_table_context_design,html_inline,True,KR_STATUS_PARSER_NONEXTRACTED_FEASIBILITY_A0/parser_nonextracted_feasibility_matrix.csv + input_manifest.csv
20140321802886,label_no_value,label_present_but_attachment_or_table_context_required,needs_table_context_design,html_inline,True,KR_STATUS_PARSER_NONEXTRACTED_FEASIBILITY_A0/parser_nonextracted_feasibility_matrix.csv + input_manifest.csv
20140320800864,label_no_value,label_present_but_attachment_or_table_context_required,needs_table_context_design,html_inline,True,KR_STATUS_PARSER_NONEXTRACTED_FEASIBILITY_A0/parser_nonextracted_feasibility_matrix.csv + input_manifest.csv
20140313802028,label_no_value,label_present_but_attachment_or_table_context_required,needs_table_context_design,html_inline,True,KR_STATUS_PARSER_NONEXTRACTED_FEASIBILITY_A0/parser_nonextracted_feasibility_matrix.csv + input_manifest.csv
20140313802027,label_no_value,label_present_but_attachment_or_table_context_required,needs_table_context_design,html_inline,True,KR_STATUS_PARSER_NONEXTRACTED_FEASIBILITY_A0/parser_nonextracted_feasibility_matrix.csv + input_manifest.csv
20140228800018,label_no_value,label_present_but_attachment_or_table_context_required,needs_table_context_design,html_inline,True,KR_STATUS_PARSER_NONEXTRACTED_FEASIBILITY_A0/parser_nonextracted_feasibility_matrix.csv + input_manifest.csv
20140210800006,label_no_value,label_present_but_attachment_or_table_context_required,needs_table_context_design,html_inline,True,KR_STATUS_PARSER_NONEXTRACTED_FEASIBILITY_A0/parser_nonextracted_feasibility_matrix.csv + input_manifest.csv
20140206800002,label_no_value,label_present_but_attachment_or_table_context_required,needs_table_context_design,html_inline,True,KR_STATUS_PARSER_NONEXTRACTED_FEASIBILITY_A0/parser_nonextracted_feasibility_matrix.csv + input_manifest.csv
20140205800195,label_no_value,label_present_but_attachment_or_table_context_required,needs_table_context_design,html_inline,True,KR_STATUS_PARSER_NONEXTRACTED_FEASIBILITY_A0/parser_nonextracted_feasibility_matrix.csv + input_manifest.csv
20140616800164,label_no_value,label_present_but_attachment_or_table_context_required,needs_table_context_design,html_inline,True,KR_STATUS_PARSER_NONEXTRACTED_FEASIBILITY_A0/parser_nonextracted_feasibility_matrix.csv + input_manifest.csv
20140530801640,label_no_value,label_present_but_attachment_or_table_context_required,needs_table_context_design,html_inline,True,KR_STATUS_PARSER_NONEXTRACTED_FEASIBILITY_A0/parser_nonextracted_feasibility_matrix.csv + input_manifest.csv
20140403800446,label_no_value,label_present_but_attachment_or_table_context_required,needs_table_context_design,html_inline,True,KR_STATUS_PARSER_NONEXTRACTED_FEASIBILITY_A0/parser_nonextracted_feasibility_matrix.csv + input_manifest.csv
20140919800118,label_no_value,label_present_but_attachment_or_table_context_required,needs_table_context_design,html_inline,True,KR_STATUS_PARSER_NONEXTRACTED_FEASIBILITY_A0/parser_nonextracted_feasibility_matrix.csv + input_manifest.csv
20140917800300,label_no_value,label_present_but_attachment_or_table_context_required,needs_table_context_design,html_inline,True,KR_STATUS_PARSER_NONEXTRACTED_FEASIBILITY_A0/parser_nonextracted_feasibility_matrix.csv + input_manifest.csv
20140814801496,label_no_value,label_present_but_attachment_or_table_context_required,needs_table_context_design,html_inline,True,KR_STATUS_PARSER_NONEXTRACTED_FEASIBILITY_A0/parser_nonextracted_feasibility_matrix.csv + input_manifest.csv
20150311800005,label_no_value,label_present_but_attachment_or_table_context_required,needs_table_context_design,html_inline,True,KR_STATUS_PARSER_NONEXTRACTED_FEASIBILITY_A0/parser_nonextracted_feasibility_matrix.csv + input_manifest.csv
20150922800445,label_no_value,label_present_but_attachment_or_table_context_required,needs_table_context_design,html_inline,True,KR_STATUS_PARSER_NONEXTRACTED_FEASIBILITY_A0/parser_nonextracted_feasibility_matrix.csv + input_manifest.csv
20150821800117,label_no_value,label_present_but_attachment_or_table_context_required,needs_table_context_design,html_inline,True,KR_STATUS_PARSER_NONEXTRACTED_FEASIBILITY_A0/parser_nonextracted_feasibility_matrix.csv + input_manifest.csv
20150721800360,label_no_value,label_present_but_attachment_or_table_context_required,needs_table_context_design,html_inline,True,KR_STATUS_PARSER_NONEXTRACTED_FEASIBILITY_A0/parser_nonextracted_feasibility_matrix.csv + input_manifest.csv
20151113800478,label_no_value,label_present_but_attachment_or_table_context_required,needs_table_context_design,html_inline,True,KR_STATUS_PARSER_NONEXTRACTED_FEASIBILITY_A0/parser_nonextracted_feasibility_matrix.csv + input_manifest.csv
20151111800225,label_no_value,label_present_but_attachment_or_table_context_required,needs_table_context_design,html_inline,True,KR_STATUS_PARSER_NONEXTRACTED_FEASIBILITY_A0/parser_nonextracted_feasibility_matrix.csv + input_manifest.csv
20151102800002,label_no_value,label_present_but_attachment_or_table_context_required,needs_table_context_design,html_inline,True,KR_STATUS_PARSER_NONEXTRACTED_FEASIBILITY_A0/parser_nonextracted_feasibility_matrix.csv + input_manifest.csv
20160329801661,label_no_value,label_present_but_attachment_or_table_context_required,needs_table_context_design,html_inline,True,KR_STATUS_PARSER_NONEXTRACTED_FEASIBILITY_A0/parser_nonextracted_feasibility_matrix.csv + input_manifest.csv
20160328801000,label_no_value,label_present_but_attachment_or_table_context_required,needs_table_context_design,html_inline,True,KR_STATUS_PARSER_NONEXTRACTED_FEASIBILITY_A0/parser_nonextracted_feasibility_matrix.csv + input_manifest.csv
20160325800036,label_no_value,label_present_but_attachment_or_table_context_required,needs_table_context_design,html_inline,True,KR_STATUS_PARSER_NONEXTRACTED_FEASIBILITY_A0/parser_nonextracted_feasibility_matrix.csv + input_manifest.csv
20160229800843,label_no_value,label_present_but_attachment_or_table_context_required,needs_table_context_design,html_inline,True,KR_STATUS_PARSER_NONEXTRACTED_FEASIBILITY_A0/parser_nonextracted_feasibility_matrix.csv + input_manifest.csv
20160216800017,label_no_value,label_present_but_attachment_or_table_context_required,needs_table_context_design,html_inline,True,KR_STATUS_PARSER_NONEXTRACTED_FEASIBILITY_A0/parser_nonextracted_feasibility_matrix.csv + input_manifest.csv
20160128800663,label_no_value,label_present_but_attachment_or_table_context_required,needs_table_context_design,html_inline,True,KR_STATUS_PARSER_NONEXTRACTED_FEASIBILITY_A0/parser_nonextracted_feasibility_matrix.csv + input_manifest.csv
20160118800004,label_no_value,label_present_but_attachment_or_table_context_required,needs_table_context_design,html_inline,True,KR_STATUS_PARSER_NONEXTRACTED_FEASIBILITY_A0/parser_nonextracted_feasibility_matrix.csv + input_manifest.csv
20160615800007,label_no_value,label_present_but_attachment_or_table_context_required,needs_table_context_design,html_inline,True,KR_STATUS_PARSER_NONEXTRACTED_FEASIBILITY_A0/parser_nonextracted_feasibility_matrix.csv + input_manifest.csv
20160928800464,label_no_value,label_present_but_attachment_or_table_context_required,needs_table_context_design,html_inline,True,KR_STATUS_PARSER_NONEXTRACTED_FEASIBILITY_A0/parser_nonextracted_feasibility_matrix.csv + input_manifest.csv
20160830800195,label_no_value,label_present_but_attachment_or_table_context_required,needs_table_context_design,html_inline,True,KR_STATUS_PARSER_NONEXTRACTED_FEASIBILITY_A0/parser_nonextracted_feasibility_matrix.csv + input_manifest.csv
20160722800132,label_no_value,label_present_but_attachment_or_table_context_required,needs_table_context_design,html_inline,True,KR_STATUS_PARSER_NONEXTRACTED_FEASIBILITY_A0/parser_nonextracted_feasibility_matrix.csv + input_manifest.csv
20160714800467,label_no_value,label_present_but_attachment_or_table_context_required,needs_table_context_design,html_inline,True,KR_STATUS_PARSER_NONEXTRACTED_FEASIBILITY_A0/parser_nonextracted_feasibility_matrix.csv + input_manifest.csv
20170329800895,label_no_value,label_present_but_attachment_or_table_context_required,needs_table_context_design,html_inline,True,KR_STATUS_PARSER_NONEXTRACTED_FEASIBILITY_A0/parser_nonextracted_feasibility_matrix.csv + input_manifest.csv
20170316800464,label_no_value,label_present_but_attachment_or_table_context_required,needs_table_context_design,html_inline,True,KR_STATUS_PARSER_NONEXTRACTED_FEASIBILITY_A0/parser_nonextracted_feasibility_matrix.csv + input_manifest.csv
20170316800463,label_no_value,label_present_but_attachment_or_table_context_required,needs_table_context_design,html_inline,True,KR_STATUS_PARSER_NONEXTRACTED_FEASIBILITY_A0/parser_nonextracted_feasibility_matrix.csv + input_manifest.csv
20170316800453,label_no_value,label_present_but_attachment_or_table_context_required,needs_table_context_design,html_inline,True,KR_STATUS_PARSER_NONEXTRACTED_FEASIBILITY_A0/parser_nonextracted_feasibility_matrix.csv + input_manifest.csv
20170316800461,label_no_value,label_present_but_attachment_or_table_context_required,needs_table_context_design,html_inline,True,KR_STATUS_PARSER_NONEXTRACTED_FEASIBILITY_A0/parser_nonextracted_feasibility_matrix.csv + input_manifest.csv
20170206800861,label_no_value,label_present_but_attachment_or_table_context_required,needs_table_context_design,html_inline,True,KR_STATUS_PARSER_NONEXTRACTED_FEASIBILITY_A0/parser_nonextracted_feasibility_matrix.csv + input_manifest.csv
20170202800150,label_no_value,label_present_but_attachment_or_table_context_required,needs_table_context_design,html_inline,True,KR_STATUS_PARSER_NONEXTRACTED_FEASIBILITY_A0/parser_nonextracted_feasibility_matrix.csv + input_manifest.csv
20170814802418,label_no_value,label_present_but_attachment_or_table_context_required,needs_table_context_design,html_inline,True,KR_STATUS_PARSER_NONEXTRACTED_FEASIBILITY_A0/parser_nonextracted_feasibility_matrix.csv + input_manifest.csv
20170814802417,label_no_value,label_present_but_attachment_or_table_context_required,needs_table_context_design,html_inline,True,KR_STATUS_PARSER_NONEXTRACTED_FEASIBILITY_A0/parser_nonextracted_feasibility_matrix.csv + input_manifest.csv
