portfolio,label,schedule,band_pp,stress,metric,value,start_date,end_date,peak_date,trough_date
monthly_band_7p5pp,Monthly + 7.5pp,monthly,7.5,subperiod_2010_2017,cagr,0.08955337310947598,2010-01-01,2017-12-31,,
monthly_band_7p5pp,Monthly + 7.5pp,monthly,7.5,subperiod_2010_2017,sharpe,0.9614603246966777,2010-01-01,2017-12-31,,
monthly_band_7p5pp,Monthly + 7.5pp,monthly,7.5,subperiod_2010_2017,max_drawdown,-0.0707736571406059,2010-01-01,2017-12-31,,
monthly_band_7p5pp,Monthly + 7.5pp,monthly,7.5,subperiod_2018_2026,cagr,0.1589122164411887,2018-01-01,2026-12-31,,
monthly_band_7p5pp,Monthly + 7.5pp,monthly,7.5,subperiod_2018_2026,sharpe,1.212402017013897,2018-01-01,2026-12-31,,
monthly_band_7p5pp,Monthly + 7.5pp,monthly,7.5,subperiod_2018_2026,max_drawdown,-0.1672991337272236,2018-01-01,2026-12-31,,
monthly_band_10pp,Monthly + 10pp,monthly,10.0,2020_covid_daily_mdd,daily_mdd,-0.18611935294971038,2020-02-01,2020-04-30,2020-02-20,2020-03-20
monthly_band_10pp,Monthly + 10pp,monthly,10.0,2022_krw_return,calendar_year_return,-0.1646659710147257,2022-01-01,2022-12-31,,
monthly_band_10pp,Monthly + 10pp,monthly,10.0,2025_spike_exclusion,cagr_excluding_2025_return_days,0.11889706403874545,2010-01-04,2026-05-18,,
monthly_band_10pp,Monthly + 10pp,monthly,10.0,subperiod_2010_2017,cagr,0.09005850869467369,2010-01-01,2017-12-31,,
monthly_band_10pp,Monthly + 10pp,monthly,10.0,subperiod_2010_2017,sharpe,0.9481584396033049,2010-01-01,2017-12-31,,
monthly_band_10pp,Monthly + 10pp,monthly,10.0,subperiod_2010_2017,max_drawdown,-0.0707736571406059,2010-01-01,2017-12-31,,
monthly_band_10pp,Monthly + 10pp,monthly,10.0,subperiod_2018_2026,cagr,0.16435642311679466,2018-01-01,2026-12-31,,
monthly_band_10pp,Monthly + 10pp,monthly,10.0,subperiod_2018_2026,sharpe,1.183506683926366,2018-01-01,2026-12-31,,
monthly_band_10pp,Monthly + 10pp,monthly,10.0,subperiod_2018_2026,max_drawdown,-0.18611935294971038,2018-01-01,2026-12-31,,
monthly_band_12p5pp,Monthly + 12.5pp,monthly,12.5,2020_covid_daily_mdd,daily_mdd,-0.17808879366022634,2020-02-01,2020-04-30,2020-02-20,2020-03-20
