portfolio,label,schedule,band_pp,date,event_type,pre_nav_krw,pre_check_max_component_abs_drift_pp,commission_krw,capital_gains_tax_krw
monthly_band_0pp,Monthly + 0pp,monthly,0.0,2020-01-02,band_trigger_rebalance,244302126.84212133,1.2657320275312023,16640.47318659367,0.0
monthly_band_0pp,Monthly + 0pp,monthly,0.0,2020-02-03,band_trigger_rebalance,255767863.36230648,0.4845171843423868,9133.178830558974,0.0
monthly_band_0pp,Monthly + 0pp,monthly,0.0,2020-03-02,band_trigger_rebalance,250581372.84925726,1.429965341787287,17893.300976519342,0.0
monthly_band_0pp,Monthly + 0pp,monthly,0.0,2020-04-01,band_trigger_rebalance,229130419.82645336,5.304674928122583,60368.04082305018,559729.0464751008
monthly_band_0pp,Monthly + 0pp,monthly,0.0,2020-05-01,band_trigger_rebalance,252037874.59606132,2.8679126420621035,37691.37305987064,24688.466477152502
monthly_band_0pp,Monthly + 0pp,monthly,0.0,2020-06-01,band_trigger_rebalance,267621793.7373813,1.6679168538082378,22474.494609891197,403579.1603610862
monthly_band_0pp,Monthly + 0pp,monthly,0.0,2020-07-01,band_trigger_rebalance,275679961.87227976,2.0101275126592517,32405.03759726092,227304.99727240202
monthly_band_0pp,Monthly + 0pp,monthly,0.0,2020-08-03,band_trigger_rebalance,285993359.557278,0.9864628506040141,14755.366323308628,351866.6287692521
monthly_band_0pp,Monthly + 0pp,monthly,0.0,2020-09-01,band_trigger_rebalance,295265199.2808149,1.4310058589428687,32562.306374103948,908942.9874860389
monthly_band_0pp,Monthly + 0pp,monthly,0.0,2020-10-01,band_trigger_rebalance,281197436.1159026,0.9887208160624106,14930.392607790214,0.0
monthly_band_0pp,Monthly + 0pp,monthly,0.0,2020-11-02,band_trigger_rebalance,268555363.2016712,0.4814544717740399,6502.185008136909,0.0
monthly_band_0pp,Monthly + 0pp,monthly,0.0,2020-12-01,band_trigger_rebalance,287544336.67086923,2.755263113515938,39629.270679003,0.0
monthly_band_0pp,Monthly + 0pp,monthly,0.0,2021-01-04,band_trigger_rebalance,291776044.22866285,2.209818231450261,31730.07020117389,0.0
monthly_band_0pp,Monthly + 0pp,monthly,0.0,2021-02-01,band_trigger_rebalance,304086340.6001769,0.6808485673368031,14868.373774968442,0.0
monthly_band_0pp,Monthly + 0pp,monthly,0.0,2021-03-01,band_trigger_rebalance,302023018.64856577,1.2913099825208385,23393.7425698087,0.0
