year,flow_bucket,ticker,date,panel_foreign,panel_institution,panel_trading_value,year_month,krx_foreign,krx_institution,foreign_diff_pct,institution_diff_pct,foreign_sign_match,institution_sign_match,foreign_within_5pct,institution_within_5pct
2026,1억-10억,100090,2026-03-18,-49565980.0,-838928360.0,5180748410.0,2026-03,-51020585,-837010030,0.02851015918378827,-0.0022918841247338458,True,True,True,True
2025,10억-100억,100840,2025-08-29,960541600.0,-4680767600.0,31826851100.0,2025-08,970506650,-4725005650,-0.0102678843055841,0.009362539069133176,True,True,True,True
2026,1억-10억,100840,2026-01-14,126953600.0,-111511200.0,4350496325.0,2026-01,139570250,-102917750,-0.09039641327575182,-0.08349823038300001,True,True,False,False
2019,<1억,101140,2019-02-22,-98281755.0,84645.0,772225840.0,2019-02,-99203480,85600,0.009291256718010295,-0.011156542056074767,True,True,True,True
2019,<1억,101530,2019-08-01,13504100.0,1444200.0,686742560.0,2019-08,13715900,1451210,-0.015441932355878943,-0.0048304518298523304,True,True,True,True
2018,10억-100억,103140,2018-12-17,-455315600.0,2693437200.0,4128081700.0,2018-12,-454630850,2674146500,-0.0015061670363988716,0.007213778302722009,True,True,True,True
2019,1억-10억,103590,2019-12-13,116933670.0,-3029840.0,544601570.0,2019-12,115727580,-3001185,0.010421802650673245,-0.009547895248043689,True,True,True,True
2021,1억-10억,103590,2021-02-16,194120940.0,1631140.0,2205734650.0,2021-02,193442100,1618320,0.0035092671140356728,0.00792179544218696,True,True,True,True
2025,1억-10억,103590,2025-06-04,-791347050.0,-102208500.0,10418390700.0,2025-06,-785170775,-95003500,-0.007866154977558862,-0.0758393111832722,True,True,True,False
2026,10억-100억,103590,2026-02-19,480593400.0,-6153180600.0,29159705550.0,2026-02,536561400,-6121913800,-0.1043086588040064,-0.005107357114371653,True,True,False,True
2019,10억-100억,105560,2019-07-31,-2413343800.0,1918583800.0,37466839600.0,2019-07,-2393363350,1906902050,-0.008348272735103093,0.006126035681801275,True,True,True,True
2020,100억-1000억,105560,2020-06-16,6441565200.0,11360596800.0,78898282050.0,2020-06,6246177100,11267396300,0.03128122960202329,0.008271698049708254,True,True,True,True
2021,10억-100억,105560,2021-08-03,5469754800.0,-4298434800.0,53466034000.0,2021-08,5445784600,-4246451500,0.004401606336027319,-0.012241585709856806,True,True,True,True
2024,100억-1000억,105560,2024-04-26,53033408000.0,13901692000.0,181720360100.0,2024-04,52131138100,13683921200,0.01730769618474913,0.015914356478463204,True,True,True,True
2024,>1000억,105560,2024-12-05,-170179924200.0,8744564400.0,429333016050.0,2024-12,-174423708700,8944766700,0.024330319150013578,-0.022382059444881888,True,True,True,True
2025,>1000억,105560,2025-02-06,-74963728500.0,-86777139000.0,295979548700.0,2025-02,-75236505400,-86918883200,0.003625592371014085,0.0016307641651797018,True,True,True,True
2025,100억-1000억,105560,2025-06-05,-17600728800.0,11188500200.0,250668659400.0,2025-06,-17675039650,11115690250,0.004204281940606566,0.006550196016842049,True,True,True,True
2026,100억-1000억,105560,2026-01-26,24075504500.0,-12285785000.0,99246199050.0,2026-01,24315378550,-12309887850,-0.009865116823361157,0.0019580072778648426,True,True,True,True
2019,<1억,105840,2019-06-12,-41275410.0,3680490.0,524950660.0,2019-06,-41371900,3669740,0.0023322593354426556,0.0029293628431442007,True,True,True,True
2020,<1억,105840,2020-06-04,1572165.0,-2684445.0,254584585.0,2020-06,1648150,-2688710,-0.046103206625610536,0.0015862625571370658,True,True,True,True
2026,10억-100억,105840,2026-02-02,1911738150.0,-770626500.0,14371409275.0,2026-02,1927453050,-772404400,-0.008153194704275677,0.002301773526924497,True,True,True,True
2018,<1억,109070,2018-12-21,17422830.0,-1567380.0,541467940.0,2018-12,17783360,-1558830,-0.020273446637755745,-0.0054848828929389346,True,True,True,True
2019,10억-100억,111770,2019-03-07,-728097200.0,1087943700.0,5618129950.0,2019-03,-730072150,1091693050,0.002705143594369406,-0.003434436080728003,True,True,True,True
2019,10억-100억,111770,2019-07-04,-671955200.0,519882300.0,3103703650.0,2019-07,-675949150,524339900,0.005908654519352528,-0.00850135570457255,True,True,True,True
2024,10억-100억,111770,2024-12-06,-228373550.0,1225799550.0,4911310300.0,2024-12,-232861050,1237347000,0.019271149039309064,-0.009332426554555837,True,True,True,True
2025,10억-100억,111770,2025-06-24,1382243500.0,-36360500.0,4725318200.0,2025-06,1375814400,-34780800,0.004672941350228636,-0.04541873677431226,True,True,True,True
2026,10억-100억,111770,2026-03-19,-859666200.0,-1601122200.0,9346700250.0,2026-03,-898759550,-1620799700,0.04349700651303232,0.012140611822670006,True,True,True,True
2026,10억-100억,111770,2026-04-14,574687800.0,622825200.0,5573974700.0,2026-04,561992500,613630600,0.022589803244705223,0.0149839333305738,True,True,True,True
2021,10억-100억,112610,2021-02-03,-2781402000.0,-4280263000.0,29888825500.0,2021-02,-2783381500,-4262584500,0.0007111852974520381,-0.00414736646276455,True,True,True,True
2022,100억-1000억,112610,2022-07-06,-3231221700.0,-9819824700.0,27022489300.0,2022-07,-3392933950,-9970051550,0.04766147893919361,0.01506781075770867,True,True,True,True
2023,10억-100억,112610,2023-10-30,1512739650.0,-2065475950.0,7836583350.0,2023-10,1514772100,-2066541600,-0.001341752993734173,0.0005156683030237572,True,True,True,True
2023,10억-100억,114090,2023-01-30,1078916300.0,-493080500.0,6348949780.0,2023-01,1074430300,-489385200,0.004175235936663365,-0.007550902642744406,True,True,True,True
2019,10억-100억,115390,2019-09-03,-405003000.0,657491700.0,3299695850.0,2019-09,-408223050,665573450,0.00788796712973459,-0.012142536635137714,True,True,True,True
2021,<1억,117580,2021-07-02,-13821500.0,1428820.0,397662870.0,2021-07,-14088020,1390000,0.018918201422201273,0.027928057553956834,True,True,True,True
2024,1억-10억,117580,2024-06-14,-254872860.0,-3240490.0,5238557310.0,2024-06,-265244870,-3241460,0.039103527242581544,0.00029924786978707124,True,True,True,True
2020,<1억,120030,2020-01-30,-7421400.0,-638400.0,56528000.0,2020-01,-7366700,-613000,-0.007425305767847204,-0.04143556280587276,True,True,True,True
2025,<1억,120030,2025-04-17,-5717100.0,19767600.0,70770100.0,2025-04,-5759600,19715400,0.007378984651711925,0.0026476764356797226,True,True,True,True
2025,1억-10억,120030,2025-04-25,96067800.0,19837900.0,815499150.0,2025-04,94686450,19327500,0.01458867662690913,0.026407967921355583,True,True,True,True
2021,100억-1000억,120110,2021-02-02,-4476938000.0,9757593900.0,310897087700.0,2021-02,-4546332300,10024210150,0.015263798468932858,-0.02659723270067318,True,True,True,True
2021,10억-100억,120110,2021-11-24,-4181463300.0,1850781800.0,32150721700.0,2021-11,-4193841400,1869003700,0.0029514945414960136,-0.009749525910515854,True,True,True,True
2021,1억-10억,122900,2021-10-13,-265012500.0,-33433200.0,2072591550.0,2021-10,-266424700,-33404000,0.005300559595262751,-0.0008741468087654173,True,True,True,True
2022,<1억,123690,2022-01-25,8395530.0,20755410.0,306334690.0,2022-01,8120100,21424070,0.03391953301067721,-0.03121068965887434,True,True,True,True
