date,V1_macro_gate_mcap_net_value,V2_kospi_buy_and_hold_net_value,V3_cash_net_value
2014-09-22,0.9139239053467136,1.8480670104254517,1.0
2014-09-23,0.9102423127495951,1.8395882062205717,1.0
2014-09-24,0.9171840320692042,1.8464639748366583,1.0
2014-09-25,0.9143149909012591,1.8456334516564352,1.0
2014-09-26,0.9250122934580102,1.8440918044641141,1.0
2014-09-29,0.9384747392593134,1.8404208027837503,1.0
2014-09-30,0.9307200408751232,1.8351227688425633,1.0
2014-10-01,0.9135358917617946,1.809903264391939,1.0
2014-10-02,0.8998016505308415,1.7968699026235881,1.0
2014-10-06,0.8855558077409696,1.7906335144945915,1.0
2014-10-07,0.8933895616688103,1.7954444599718882,1.0
2014-10-08,0.884673981979379,1.7891249009902468,1.0
2014-10-10,0.8708624637309883,1.767755193000819,1.0
2014-10-13,0.8738270644384079,1.7560810746391537,1.0
2014-10-14,0.8756875503663283,1.7588483611998678,1.0
2014-10-15,0.8714791630266249,1.7566263531600177,1.0
2014-10-16,0.8778753765797978,1.7510477120644254,1.0
2014-10-17,0.8613612253260035,1.7353009297109923,1.0
2014-10-20,0.8780661606126523,1.7628503967857634,1.0
2014-10-21,0.8735074753465429,1.7508061048965236,1.0
2014-10-22,0.8769441465173853,1.7715792944173367,1.0
2014-10-23,0.8766115650337116,1.7681421663675854,1.0
2014-10-24,0.8758362040615687,1.763606383790276,1.0
2014-10-27,0.8739906955976362,1.7704122884026625,1.0
2014-10-28,0.873327963578822,1.7652770473613544,1.0
2014-10-29,0.8891954642627705,1.7991826336899686,1.0
2014-10-30,0.889335288272393,1.7984264430038766,1.0
2014-10-31,0.8982797364352548,1.805025625429313,1.0
2014-11-03,0.8862971515876389,1.7957789742521684,1.0
2014-11-04,0.8751879949183162,1.7803939714239607,1.0
2014-11-05,0.8681452194463892,1.777716529819035,1.0
2014-11-06,0.8826948967639905,1.783865699432906,1.0
2014-11-07,0.8839551171111479,1.7877632309918134,1.0
2014-11-10,0.901135093982872,1.8061977066557406,1.0
2014-11-11,0.9003749346179659,1.8119798539237453,1.0
2014-11-12,0.8940451522677862,1.8169038288893926,1.0
2014-11-13,0.8927027459772556,1.811330279101891,1.0
2014-11-14,0.8924621913575355,1.7927495829670546,1.0
2014-11-17,0.8838402898454245,1.792637154040271,1.0
2014-11-18,0.8888368139329257,1.81516927535462,1.0
2014-11-19,0.8859302880691663,1.813923469409346,1.0
2014-11-20,0.8788938550073085,1.8067752141479747,1.0
2014-11-21,0.8787784500843403,1.8136414867919868,1.0
2014-11-24,0.891658919402353,1.8279153337295642,1.0
2014-11-25,0.894415051802157,1.8304759339710777,1.0
