date,cash,mtm_value,gross_value,net_value,n_positions,d013_baseline_net_value,d013_kr_short_rate_sleeve_net_value,kr_short_rate_sleeve_factor
2010-10-28,1.0153458727256233,0.0,1.0153458727256233,1.0153458727256233,0,1.0,1.0153458727256233,1.0153458727256233
2010-10-29,1.0154496407596711,0.0,1.0154496407596711,1.0154496407596711,0,1.0,1.0154496407596711,1.0154496407596711
2010-11-01,1.0155534193987799,0.0,1.0155534193987799,1.0155534193987799,0,1.0,1.0155534193987799,1.0155534193987799
2010-11-02,1.0156572086440334,0.0,1.0156572086440334,1.0156572086440334,0,1.0,1.0156572086440334,1.0156572086440334
2010-11-03,1.0157610084965158,0.0,1.0157610084965158,1.0157610084965158,0,1.0,1.0157610084965158,1.0157610084965158
2010-11-04,1.015864818957311,0.0,1.015864818957311,1.015864818957311,0,1.0,1.015864818957311,1.015864818957311
2010-11-05,1.015968640027503,0.0,1.015968640027503,1.015968640027503,0,1.0,1.015968640027503,1.015968640027503
2010-11-08,1.0160724717081764,0.0,1.0160724717081764,1.0160724717081764,0,1.0,1.0160724717081764,1.0160724717081764
2010-11-09,1.0161763140004154,0.0,1.0161763140004154,1.0161763140004154,0,1.0,1.0161763140004154,1.0161763140004154
2010-11-10,1.0162801669053045,0.0,1.0162801669053045,1.0162801669053045,0,1.0,1.0162801669053045,1.0162801669053045
2010-11-11,1.0163840304239284,0.0,1.0163840304239284,1.0163840304239284,0,1.0,1.0163840304239284,1.0163840304239284
2010-11-12,1.0164879045573718,0.0,1.0164879045573718,1.0164879045573718,0,1.0,1.0164879045573718,1.0164879045573718
2010-11-15,1.0165917893067196,0.0,1.0165917893067196,1.0165917893067196,0,1.0,1.0165917893067196,1.0165917893067196
2010-11-16,1.0166956846730564,0.0,1.0166956846730564,1.0166956846730564,0,1.0,1.0166956846730564,1.0166956846730564
2010-11-17,1.0167995906574676,0.0,1.0167995906574676,1.0167995906574676,0,1.0,1.0167995906574676,1.0167995906574676
2010-11-18,1.0169035072610382,0.0,1.0169035072610382,1.0169035072610382,0,1.0,1.0169035072610382,1.0169035072610382
2010-11-19,1.0170074344848536,0.0,1.0170074344848536,1.0170074344848536,0,1.0,1.0170074344848536,1.0170074344848536
2010-11-22,1.0171113723299992,0.0,1.0171113723299992,1.0171113723299992,0,1.0,1.0171113723299992,1.0171113723299992
2010-11-23,1.0172153207975603,0.0,1.0172153207975603,1.0172153207975603,0,1.0,1.0172153207975603,1.0172153207975603
2010-11-24,1.0173192798886226,0.0,1.0173192798886226,1.0173192798886226,0,1.0,1.0173192798886226,1.0173192798886226
2010-11-25,1.0174232496042719,0.0,1.0174232496042719,1.0174232496042719,0,1.0,1.0174232496042719,1.0174232496042719
2010-11-26,1.017527229945594,0.0,1.017527229945594,1.017527229945594,0,1.0,1.017527229945594,1.017527229945594
2010-11-29,1.0176312209136749,0.0,1.0176312209136749,1.0176312209136749,0,1.0,1.0176312209136749,1.0176312209136749
2010-11-30,1.0177352225096004,0.0,1.0177352225096004,1.0177352225096004,0,1.0,1.0177352225096004,1.0177352225096004
2010-12-01,1.017839234734457,0.0,1.017839234734457,1.017839234734457,0,1.0,1.017839234734457,1.017839234734457
2010-12-02,1.0179432575893306,0.0,1.0179432575893306,1.0179432575893306,0,1.0,1.0179432575893306,1.0179432575893306
