date,cash,mtm_value,gross_value,net_value,n_positions,d013_baseline_net_value,d013_kr_short_rate_sleeve_net_value,kr_short_rate_sleeve_factor
2023-12-01,0.0,1.6109517773408275,1.6109517773408275,1.6109517773408275,5,1.280302205217762,1.6109517773408275,1.258259003831698
2023-12-04,0.0,1.6116498409058266,1.6116498409058266,1.6116498409058266,5,1.2808569904908047,1.6116498409058266,1.258259003831698
2023-12-05,0.0,1.583443391240751,1.583443391240751,1.583443391240751,5,1.2584399447321968,1.583443391240751,1.258259003831698
2023-12-06,0.0,1.5711910113307535,1.5711910113307535,1.5711910113307535,5,1.248702378879152,1.5711910113307535,1.258259003831698
2023-12-07,0.0,1.5708273901339567,1.5708273901339567,1.5708273901339567,5,1.2484133913211934,1.5708273901339567,1.258259003831698
2023-12-08,0.0,1.5984658650817696,1.5984658650817696,1.5984658650817696,5,1.2703790397796166,1.5984658650817696,1.258259003831698
2023-12-11,0.0,1.597395464193247,1.597395464193247,1.597395464193247,5,1.2695283398162045,1.597395464193247,1.258259003831698
2023-12-12,0.0,1.6039512791795576,1.6039512791795576,1.6039512791795576,5,1.2747385667777018,1.6039512791795576,1.258259003831698
2023-12-13,0.0,1.5811631585771484,1.5811631585771484,1.5811631585771484,5,1.2566277322571349,1.5811631585771484,1.258259003831698
2023-12-14,0.0,1.6096481180543296,1.6096481180543296,1.6096481180543296,5,1.2792661233915816,1.6096481180543296,1.258259003831698
2023-12-15,0.0,1.6330495481352532,1.6330495481352532,1.6330495481352532,5,1.2978643849654392,1.6330495481352532,1.258259003831698
2023-12-18,0.0,1.635861198094027,1.635861198094027,1.635861198094027,5,1.3000989407685066,1.635861198094027,1.258259003831698
2023-12-19,0.0,1.6411409237564532,1.6411409237564532,1.6411409237564532,5,1.3042949971021773,1.6411409237564532,1.258259003831698
2023-12-20,0.0,1.6655513527083317,1.6655513527083317,1.6655513527083317,5,1.323695159451537,1.6655513527083317,1.258259003831698
2023-12-21,0.0,1.6511539153714903,1.6511539153714903,1.6511539153714903,5,1.312252811498534,1.6511539153714903,1.258259003831698
2023-12-22,0.0,1.6534981151825539,1.6534981151825539,1.6534981151825539,5,1.31411586179575,1.6534981151825539,1.258259003831698
2023-12-26,0.0,1.6517067844193445,1.6517067844193445,1.6517067844193445,5,1.3126922035840827,1.6517067844193445,1.258259003831698
2023-12-27,0.0,1.6751138253125888,1.6751138253125888,1.6751138253125888,5,1.3312949243450423,1.6751138253125888,1.258259003831698
2023-12-28,0.0,1.7036617932235338,1.7036617932235338,1.7036617932235338,5,1.3539833913649562,1.7036617932235338,1.258259003831698
2024-01-02,0.0,1.7121473258154511,1.7121473258154511,1.7121473258154511,5,1.3607272593333766,1.7121473258154511,1.258259003831698
2024-01-03,0.0,1.6646566671204128,1.6646566671204128,1.6646566671204128,5,1.322984109035689,1.6646566671204128,1.258259003831698
2024-01-04,0.0,1.6504839321798532,1.6504839321798532,1.6504839321798532,5,1.3117203430722426,1.6504839321798532,1.258259003831698
2024-01-05,0.0,1.6400563559067114,1.6400563559067114,1.6400563559067114,5,1.3034330379614607,1.6400563559067114,1.258259003831698
2024-01-08,0.0,1.6294399737579732,1.6294399737579732,1.6294399737579732,5,1.2949956795826143,1.6294399737579732,1.258259003831698
2024-01-09,0.0,1.6282050468830023,1.6282050468830023,1.6282050468830023,5,1.2940142227671174,1.6282050468830023,1.258259003831698
2024-01-10,0.0,1.6076389194039038,1.6076389194039038,1.6076389194039038,5,1.277669314909141,1.6076389194039038,1.258259003831698
2024-01-11,0.0,1.6186420358607194,1.6186420358607194,1.6186420358607194,5,1.286414029966461,1.6186420358607194,1.258259003831698
