ticker,rcept_dt,official_status_category,report_nm,rcept_no,w001_tradable_state,reconciliation_class
242850,2019-03-27,delisting,기타시장안내(지정자문인 선임계약 해지에 따른 상장폐지절차 안내),20190327601813,PANEL_ABSENT_OR_OUT_OF_SCOPE,official_status_but_panel_absent
230980,2019-03-27,delisting,기타시장안내(상장폐지 관련 이의신청서 접수),20190327901780,PANEL_ABSENT_OR_OUT_OF_SCOPE,official_status_but_panel_absent
123260,2019-03-27,delisting,[기재정정]내부결산시점관리종목지정ㆍ형식적상장폐지ㆍ상장적격성실질심사사유발생,20190327901752,PANEL_ABSENT_OR_OUT_OF_SCOPE,official_status_but_panel_absent
065160,2019-03-27,suspension_related,주권매매거래정지기간변경(회생절차 개시결정),20190327901548,PANEL_ABSENT_OR_OUT_OF_SCOPE,official_status_but_panel_absent
094190,2019-03-27,delisting,[기재정정]내부결산시점관리종목지정ㆍ형식적상장폐지ㆍ상장적격성실질심사사유발생,20190327901365,PANEL_ABSENT_OR_OUT_OF_SCOPE,official_status_but_panel_absent
054340,2019-03-27,delisting,기타시장안내(상장폐지 관련),20190327900387,PANEL_ABSENT_OR_OUT_OF_SCOPE,official_status_but_panel_absent
054340,2019-03-27,suspension_related,주권매매거래정지기간변경(상장폐지 사유 발생),20190327900385,PANEL_ABSENT_OR_OUT_OF_SCOPE,official_status_but_panel_absent
043590,2019-03-26,delisting,기타시장안내(상장폐지 관련 이의신청서 접수),20190326901470,PANEL_ABSENT_OR_OUT_OF_SCOPE,official_status_but_panel_absent
064520,2019-03-26,delisting,[기재정정]내부결산시점관리종목지정ㆍ형식적상장폐지ㆍ상장적격성실질심사사유발생,20190326901272,PANEL_ABSENT_OR_OUT_OF_SCOPE,official_status_but_panel_absent
123260,2019-03-26,suspension_related,주권매매거래정지(풍문 또는 보도 관련),20190326900960,PANEL_ABSENT_OR_OUT_OF_SCOPE,official_status_but_panel_absent
