correction_rcept_no,correction_rcept_dt,stock_code,corp_code,corp_name,correction_report_nm,event_category,pass1_link_confidence,pass2_link_confidence,pass2_cross_category,pass2_raw_pool,pass2_long_window,n_cands_730d,root_cause,notes
20200713900454,2020-07-13,206400,1043853,베노티앤알,[기재정정]주권매매거래정지(주권매매거래정지 사유취소),suspension_related,no_link,no_link,False,False,False,3,window_too_short,candidate at 481d (pass-1 used 180d)
20210907900509,2021-09-07,050320,245898,에스에이치엔엘,[기재정정]주권매매거래정지기간변경(개선기간 부여),suspension_related,no_link,high,False,False,True,20,window_too_short,candidate at 365d (pass-1 used 180d)
20210825800494,2021-08-25,042670,344287,에이치디현대인프라코어,[기재정정]매매거래정지및정지해제(중요내용공시),resumption_related,no_link,no_link,False,False,False,0,attachment_or_body_reference_required,issuer has prior rows but no candidate accepted by scoring; correction may reference body/attachment-only content
20220906900550,2022-09-06,078650,477257,지나인제약,[기재정정]주권매매거래정지기간변경(개선기간 부여),suspension_related,no_link,high,False,False,False,14,source_pool_too_narrow,pass-2 search found a candidate pass-1 missed
20220906900547,2022-09-06,178780,923826,일월지엠엘,[기재정정]주권매매거래정지기간변경(개선기간 부여),suspension_related,no_link,medium,False,False,False,14,window_too_short,candidate at 522d (pass-1 used 180d)
20220905900418,2022-09-05,319660,1365825,피에스케이,[기재정정]주권매매거래정지(무상증자),suspension_related,no_link,no_link,False,False,False,0,source_pool_too_narrow,issuer has prior rows in raw pool but not filtered
20220816903047,2022-08-16,082800,533191,비보존 제약,[기재정정]주권매매거래정지해제(풍문 등 조회결과 공시),resumption_related,no_link,no_link,False,False,False,0,attachment_or_body_reference_required,issuer has prior rows but no candidate accepted by scoring; correction may reference body/attachment-only content
20220816902970,2022-08-16,052420,350048,오성첨단소재,[기재정정]기타시장안내(감사의견 관련 형식적 상장폐지 사유해소 및 매매거래정지 지속 안내),suspension_related,no_link,low,False,False,False,6,source_pool_too_narrow,pass-2 search found a candidate pass-1 missed
20190828900580,2019-08-28,149940,757816,모다,[기재정정]주권매매거래정지해제,resumption_related,no_link,low,False,False,False,11,source_pool_too_narrow,pass-2 search found a candidate pass-1 missed
20241106900580,2024-11-06,065150,390860,대산F&B,[기재정정]주권매매거래정지기간변경              (상장적격성 실질심사 대상(사유발생)),suspension_related,no_link,medium,False,False,True,5,window_too_short,candidate at 215d (pass-1 used 180d)
20241029900334,2024-10-29,036930,252135,주성엔지니어링,[기재정정]주권매매거래정지              (매매거래정지 취소),suspension_related,no_link,medium,False,False,False,2,source_pool_too_narrow,pass-2 search found a candidate pass-1 missed
20201223900861,2020-12-23,287410,1267602,제이시스메디칼,[기재정정]주권매매거래정지해제(상장예비심사결과 통지(승인)),resumption_related,no_link,medium,True,False,False,1,cross_category_original_likely,candidate in suspension_related
