date,signal_plus_gate_value,signal_only_value,gate_only_value,cash_value
2020-03-25,0.480806274160594,0.362658431532162,0.44909756874135104,1.0
2020-03-26,0.480806274160594,0.3625791621685812,0.44909756874135104,1.0
2020-03-27,0.480806274160594,0.36069360406802475,0.44909756874135104,1.0
2020-03-30,0.480806274160594,0.3585934718685644,0.44909756874135104,1.0
2020-03-31,0.480806274160594,0.3667381769339382,0.44909756874135104,1.0
2020-04-01,0.480806274160594,0.3503765406018947,0.44909756874135104,1.0
2020-04-02,0.480806274160594,0.35371281566740276,0.44909756874135104,1.0
2020-04-03,0.480806274160594,0.34479929656922187,0.44909756874135104,1.0
2020-04-06,0.480806274160594,0.3581545630985513,0.44909756874135104,1.0
2020-04-07,0.480806274160594,0.362980991972209,0.44909756874135104,1.0
2020-04-08,0.480806274160594,0.35949691104229076,0.44909756874135104,1.0
2020-04-09,0.480806274160594,0.3655161985650665,0.44909756874135104,1.0
2020-04-10,0.480806274160594,0.371213051810668,0.44909756874135104,1.0
2020-04-13,0.480806274160594,0.35689742397143714,0.44909756874135104,1.0
2020-04-14,0.480806274160594,0.3626913254752727,0.44909756874135104,1.0
2020-04-16,0.480806274160594,0.3591263801586594,0.44909756874135104,1.0
2020-04-17,0.480806274160594,0.39226143922963597,0.44909756874135104,1.0
2020-04-20,0.480806274160594,0.36804830542083533,0.44909756874135104,1.0
2020-04-21,0.480806274160594,0.36754450889354945,0.44909756874135104,1.0
2020-04-22,0.480806274160594,0.3738314528745534,0.44909756874135104,1.0
2020-04-23,0.480806274160594,0.37883291963032073,0.44909756874135104,1.0
2020-04-24,0.480806274160594,0.3746252217073891,0.44909756874135104,1.0
2020-04-27,0.480806274160594,0.3777095204773121,0.44909756874135104,1.0
2020-04-28,0.480806274160594,0.3751798702986944,0.44909756874135104,1.0
2020-04-29,0.480806274160594,0.3734539561378465,0.44909756874135104,1.0
2020-05-04,0.48110098424386927,0.3675510924697344,0.44270846358209515,1.0
2020-05-06,0.48435961442383146,0.36942869535262557,0.44588134233337046,1.0
2020-05-07,0.4765716185057138,0.36366714673650863,0.44588134233337046,1.0
2020-05-08,0.4766409357323045,0.3641199161689867,0.44588134233337046,1.0
2020-05-11,0.47692506102571663,0.3644026548763589,0.44190940310546445,1.0
2020-05-12,0.4857982959663609,0.37128375233918764,0.44280932108264576,1.0
2020-05-13,0.48510217205072925,0.37084427110392504,0.44280932108264576,1.0
2020-05-14,0.46882167324008145,0.3583056268342033,0.4437986374394992,1.0
2020-05-15,0.47175142046433416,0.3569997801067327,0.4457268158586227,1.0
2020-05-18,0.4667817898940091,0.3493632173045166,0.4457268158586227,1.0
2020-05-19,0.4607127826145636,0.34889254887714166,0.4443226118035246,1.0
2020-05-20,0.45793943947211724,0.3471635437356857,0.45112964006070155,1.0
2020-05-21,0.45627294755788195,0.3463148363802331,0.4528468445463534,1.0
2020-05-22,0.4454079503897721,0.33805729675856544,0.4509934594066901,1.0
2020-05-25,0.45060112724565954,0.3419956628298678,0.457267357594991,1.0
2020-05-26,0.4687709160207441,0.35580744057820624,0.45952456069676084,1.0
2020-05-27,0.4732637143777132,0.3592134228720878,0.4525676554685155,1.0
2020-05-28,0.46782887458949923,0.3550845517886966,0.45813088199186114,1.0
2020-05-29,0.4778081140796321,0.362648793121683,0.4531717497726827,1.0
2020-06-01,0.4856638507152198,0.3686197790560269,0.46759421947667157,1.0
2020-06-02,0.5033225924908094,0.3820229346136006,0.46292377649942906,1.0
2020-06-03,0.5055670154285522,0.3837310577287092,0.47203303667671914,1.0
2020-06-04,0.497888820266586,0.3779103633411357,0.4852825936199897,1.0
2020-06-05,0.5008919847624489,0.38018817864762194,0.49541419085425153,1.0
