ticker,sector_code,sector_name,n_rows,start_date,end_date,foreign_net_buy_amount_missing_pct,foreign_net_buy_shares_missing_pct,institution_net_buy_amount_missing_pct,institution_net_buy_shares_missing_pct,traded_value_missing_pct,traded_value_zero_pct,market_cap_missing_pct,market_cap_zero_pct,daily_return_missing_pct,panel_rows,krx_close_missing_pct,krx_close_zero_pct,open_missing_pct,open_zero_pct,panel_traded_value_missing_pct,panel_traded_value_zero_pct,panel_market_cap_missing_pct,panel_market_cap_zero_pct
110570,1.0,반도체/IT하드웨어,102,2011-10-14,2017-04-06,98.039216,98.039216,98.039216,98.039216,0.0,0.0,0.0,0.0,0.0,1115,0.0,0.0,0.0,6.816143,0.0,6.816143,0.0,0.0
192650,1.0,반도체/IT하드웨어,205,2019-03-14,2024-03-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1430,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
195870,1.0,반도체/IT하드웨어,164,2016-06-24,2026-04-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
217590,1.0,반도체/IT하드웨어,21,2025-12-15,2026-04-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
248070,1.0,반도체/IT하드웨어,185,2021-02-02,2025-11-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
267260,1.0,반도체/IT하드웨어,832,2017-05-10,2026-05-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
272210,1.0,반도체/IT하드웨어,743,2019-11-13,2026-05-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
281820,1.0,반도체/IT하드웨어,47,2017-12-05,2025-11-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
298040,1.0,반도체/IT하드웨어,668,2018-07-13,2026-05-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
322000,1.0,반도체/IT하드웨어,273,2019-11-19,2026-05-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
336260,1.0,반도체/IT하드웨어,634,2019-10-21,2026-05-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1606,0.0,0.0,0.0,0.062267,0.0,0.062267,0.0,0.0
336370,1.0,반도체/IT하드웨어,392,2019-10-24,2026-04-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
353200,1.0,반도체/IT하드웨어,574,2020-05-21,2026-05-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
489790,1.0,반도체/IT하드웨어,318,2024-09-27,2026-05-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000040,2.0,자동차/운송장비,76,2010-02-23,2025-07-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3529,0.0,0.0,0.0,1.105129,0.0,1.105129,0.0,0.0
000270,2.0,자동차/운송장비,4018,2010-01-04,2026-05-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000300,2.0,자동차/운송장비,173,2010-02-09,2024-02-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3208,0.0,0.0,0.0,7.294264,0.0,7.294264,0.0,0.0
000430,2.0,자동차/운송장비,46,2010-03-09,2025-02-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
001420,2.0,자동차/운송장비,38,2012-05-07,2021-06-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
001620,2.0,자동차/운송장비,26,2010-04-21,2021-07-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
002880,2.0,자동차/운송장비,193,2010-08-06,2023-12-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3207,0.0,0.0,0.0,0.405363,0.0,0.405363,0.0,0.0
002920,2.0,자동차/운송장비,21,2011-05-23,2021-02-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
003570,2.0,자동차/운송장비,33,2010-05-04,2026-04-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
