ticker,concept,covered,matched_aliases
UNH,StockholdersEquity,1,StockholdersEquity|StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest
UNH,Assets,1,Assets|AssetsCurrent
UNH,CFO,1,NetCashProvidedByUsedInOperatingActivities
UNH,Buybacks,1,PaymentsForRepurchaseOfCommonStock
UNH,Cash,1,CashAndCashEquivalentsAtCarryingValue|CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents
UNH,LongTermDebt,1,LongTermDebtNoncurrent|LongTermDebtCurrent|DebtLongtermAndShorttermCombinedAmount
UNH,TotalLiabilities,1,Liabilities|LiabilitiesAndStockholdersEquity|LiabilitiesCurrent
UNH,EPS_Basic,1,EarningsPerShareBasic
UNH,EPS_Diluted,1,EarningsPerShareDiluted
UNH,CapEx,1,PaymentsToAcquirePropertyPlantAndEquipment|PaymentsToAcquireProductiveAssets
UNH,Shares,1,WeightedAverageNumberOfDilutedSharesOutstanding|WeightedAverageNumberOfSharesOutstandingBasic|CommonStockSharesOutstanding
UNH,Dividends,1,PaymentsOfDividends|PaymentsOfDividendsCommonStock|CommonStockDividendsPerShareDeclared
BAC,Revenue,1,Revenues|InterestAndDividendIncomeOperating
BAC,NetIncome,1,NetIncomeLoss|ProfitLoss|NetIncomeLossAvailableToCommonStockholdersBasic
BAC,OperatingIncome,1,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest|IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments
BAC,StockholdersEquity,1,StockholdersEquity
BAC,Assets,1,Assets
BAC,CFO,1,NetCashProvidedByUsedInOperatingActivities|NetCashProvidedByUsedInOperatingActivitiesContinuingOperations
BAC,Buybacks,1,PaymentsForRepurchaseOfCommonStock
BAC,Cash,1,CashAndCashEquivalentsAtCarryingValue|CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents|CashAndDueFromBanks
BAC,LongTermDebt,1,LongTermDebt
BAC,TotalLiabilities,1,Liabilities|LiabilitiesAndStockholdersEquity
BAC,EPS_Basic,1,EarningsPerShareBasic
BAC,EPS_Diluted,1,EarningsPerShareDiluted
BAC,CapEx,0,
BAC,Shares,1,WeightedAverageNumberOfDilutedSharesOutstanding|WeightedAverageNumberOfSharesOutstandingBasic|CommonStockSharesOutstanding
BAC,Dividends,1,PaymentsOfDividends|PaymentsOfOrdinaryDividends|CommonStockDividendsPerShareDeclared
XOM,Revenue,1,RevenueFromContractWithCustomerExcludingAssessedTax|Revenues
XOM,NetIncome,1,NetIncomeLoss|ProfitLoss
XOM,OperatingIncome,1,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest
XOM,StockholdersEquity,1,StockholdersEquity|StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest
XOM,Assets,1,Assets|AssetsCurrent
XOM,CFO,1,NetCashProvidedByUsedInOperatingActivities|NetCashProvidedByUsedInOperatingActivitiesContinuingOperations
XOM,Buybacks,1,PaymentsForRepurchaseOfCommonStock
XOM,Cash,1,CashAndCashEquivalentsAtCarryingValue|CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents
XOM,LongTermDebt,1,LongTermDebtNoncurrent|LongTermDebtCurrent
XOM,TotalLiabilities,1,Liabilities|LiabilitiesAndStockholdersEquity|LiabilitiesCurrent
XOM,EPS_Basic,1,EarningsPerShareBasic
XOM,EPS_Diluted,1,EarningsPerShareDiluted
XOM,CapEx,1,PaymentsToAcquirePropertyPlantAndEquipment
XOM,Shares,1,WeightedAverageNumberOfDilutedSharesOutstanding|WeightedAverageNumberOfSharesOutstandingBasic|CommonStockSharesOutstanding
XOM,Dividends,1,PaymentsOfDividendsCommonStock
CVX,Revenue,1,RevenueFromContractWithCustomerExcludingAssessedTax|Revenues
CVX,NetIncome,1,NetIncomeLoss|ProfitLoss
CVX,OperatingIncome,1,IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments
CVX,StockholdersEquity,1,StockholdersEquity|StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest
CVX,Assets,1,Assets|AssetsCurrent
CVX,CFO,1,NetCashProvidedByUsedInOperatingActivities
CVX,Buybacks,1,PaymentsForRepurchaseOfCommonStock
CVX,Cash,1,CashAndCashEquivalentsAtCarryingValue|CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents
CVX,LongTermDebt,1,LongTermDebt|LongTermDebtNoncurrent|LongTermDebtCurrent
CVX,TotalLiabilities,1,Liabilities|LiabilitiesAndStockholdersEquity|LiabilitiesCurrent
CVX,EPS_Basic,1,EarningsPerShareBasic
CVX,EPS_Diluted,1,EarningsPerShareDiluted
CVX,CapEx,1,PaymentsToAcquireProductiveAssets
CVX,Shares,1,WeightedAverageNumberOfDilutedSharesOutstanding|WeightedAverageNumberOfSharesOutstandingBasic
CVX,Dividends,1,PaymentsOfDividends|PaymentsOfDividendsCommonStock|CommonStockDividendsPerShareDeclared
KO,Revenue,1,Revenues|SalesRevenueGoodsNet
KO,NetIncome,1,NetIncomeLoss|ProfitLoss
KO,OperatingIncome,1,OperatingIncomeLoss|IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest
KO,StockholdersEquity,1,StockholdersEquity|StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest
KO,Assets,1,Assets|AssetsCurrent
KO,CFO,1,NetCashProvidedByUsedInOperatingActivities|NetCashProvidedByUsedInOperatingActivitiesContinuingOperations
KO,Buybacks,1,PaymentsForRepurchaseOfCommonStock
KO,Cash,1,CashAndCashEquivalentsAtCarryingValue|CashCashEquivalentsRestrictedCashAndRestrictedCashEquivalents
