signal,ticker,signal_date,execution_date,exit_date,holding_days,entry_price,exit_price,signal_value,gross_return,net_return,tax_paid_return
r1d_lt_m3_hold3,034730,2024-02-28,2024-02-29,2024-03-05,3,194500.0,193000.0,0.0,-0.007712082262210762,-0.013712082262210762,0.0
r1d_lt_m3_hold3,004980,2023-03-31,2023-04-03,2023-04-05,3,10800.0,12540.0,0.0,0.1611111111111112,0.11966666666666673,0.035444444444444466
r1d_lt_m3_hold3,097950,2019-02-15,2019-02-18,2019-02-22,3,340000.0,331500.0,0.0,-0.025000000000000022,-0.03100000000000002,0.0
r1d_lt_m3_hold3,036570,2021-04-23,2021-04-26,2021-04-28,3,844000.0,835000.0,0.0,-0.010663507109004766,-0.016663507109004765,0.0
r1d_lt_m3_hold3,011070,2024-10-30,2024-10-31,2024-11-04,3,175700.0,175200.0,0.0,-0.002845759817871385,-0.008845759817871385,0.0
r1d_lt_m3_hold3,271560,2019-10-07,2019-10-08,2019-10-11,3,101500.0,101500.0,0.0,0.0,-0.006,0.0
r1d_lt_m3_hold3,028050,2023-10-10,2023-10-11,2023-10-13,3,28500.0,28900.0,0.0,0.01403508771929829,0.0049473684210526656,0.0030877192982456236
r1d_lt_m3_hold3,323410,2024-08-27,2024-09-02,2024-09-12,3,22100.0,20950.0,0.0,-0.05203619909502266,-0.05803619909502266,0.0
r1d_lt_m3_hold3,036570,2025-04-21,2025-04-23,2025-04-28,3,137000.0,150700.0,0.0,0.10000000000000009,0.07200000000000006,0.02200000000000002
r1d_lt_m3_hold3,033780,2018-01-03,2018-01-04,2018-01-08,3,112500.0,108500.0,0.0,-0.03555555555555556,-0.04155555555555556,0.0
r1d_lt_m3_hold3,009410,2025-04-29,2025-04-30,2025-05-07,3,2900.0,3015.0,0.0,0.039655172413793016,0.024931034482758553,0.008724137931034463
r1d_lt_m3_hold3,090430,2018-07-12,2018-07-13,2018-07-17,3,292500.0,283500.0,0.0,-0.03076923076923077,-0.03676923076923077,0.0
r1d_lt_m3_hold3,025820,2022-11-18,2023-03-10,2023-04-03,3,3150.0,4400.0,0.0,0.39682539682539675,0.3035238095238095,0.08730158730158728
r1d_lt_m3_hold3,028050,2024-01-24,2024-01-31,2024-02-02,3,24500.0,23050.0,0.0,-0.0591836734693878,-0.0651836734693878,0.0
r1d_lt_m3_hold3,066570,2018-01-08,2018-01-09,2018-01-11,3,105000.0,110500.0,0.0,0.05238095238095242,0.034857142857142885,0.011523809523809532
r1d_lt_m3_hold3,003410,2018-05-03,2018-05-04,2018-05-09,3,30900.0,31250.0,0.0,0.01132686084142387,0.002834951456310618,0.0024919093851132512
r1d_lt_m3_hold3,003670,2024-11-12,2024-11-13,2024-11-15,3,205500.0,167600.0,0.0,-0.18442822384428226,-0.19042822384428226,0.0
