sample_id,bucket,category,in_scope_for_parser,negative_control,period,rcept_no,rcept_dt,stock_code,corp_name,report_nm,is_correction
MAN_0096,delisting_pre,delisting,False,True,pre_2018,20171011900196,20171011,206660,골든브릿지제2호기업인수목적,기타경영사항(자율공시)(상장폐지 및 청산관련 주요사항 안내),False
MAN_0097,delisting_pre,delisting,False,True,pre_2018,20111219900422,20111219,099660,신텍,기타시장안내(상장폐지 관련 이의신청서 접수 ),False
MAN_0098,delisting_pre,delisting,False,True,pre_2018,20100413900181,20100413,066930,한국애보트진단,상장폐지결정,False
MAN_0099,delisting_pre,delisting,False,True,pre_2018,20111107900440,20111107,061140,엘앤피아너스,기타시장안내(상장폐지실질심사 대상 결정),False
MAN_0100,delisting_pre,delisting,False,True,pre_2018,20120518900107,20120518,900150,성융광전투자유한공사,기타시장안내(상장폐지 관련 이의신청서 접수),False
MAN_0101,delisting_post,delisting,False,True,post_2018,20200330604384,2020-03-30,220110,드림티엔터테인먼트,기타시장안내(개선기간 종료에 따른 상장폐지 여부 결정 안내),False
MAN_0102,delisting_post,delisting,False,True,post_2018,20191106900467,2019-11-06,008800,행남사,기타시장안내(상장폐지 관련 이의신청서 접수   ),False
MAN_0103,delisting_post,delisting,False,True,post_2018,20210907900503,2021-09-07,263540,어스앤에어로스페이스,기타시장안내(상장폐지관련 이의신청서 접수 및 개선기간 부여),False
MAN_0104,delisting_post,delisting,False,True,post_2018,20220816903026,2022-08-16,064510,유네코,기타시장안내(상장폐지 관련 안내),False
MAN_0105,delisting_post,delisting,False,True,post_2018,20210408900772,2021-04-08,182690,테라셈,기타시장안내(상장폐지관련 이의신청서 접수 및 개선기간 부여),False
MAN_0106,delisting_post,delisting,False,True,post_2018,20200323902006,2020-03-23,114570,지스마트글로벌,기타시장안내(상장폐지 관련 안내),False
MAN_0107,delisting_post,delisting,False,True,post_2018,20190614900448,2019-06-14,225650,쿠첸,상장폐지결정,False
MAN_0108,delisting_post,delisting,False,True,post_2018,20200724900700,2020-07-24,050320,에스에이치엔엘,기타경영사항(자율공시)(상장폐지 절차 정지 가처분신청),False
MAN_0109,delisting_post,delisting,False,True,post_2018,20231213900857,2023-12-13,022100,포스코DX,상장폐지결정,False
MAN_0110,delisting_post,delisting,False,True,post_2018,20200409901099,2020-04-09,106080,케이이엠텍,기타시장안내(개선기간 종료에 따른 상장폐지 여부 결정 안내),False
MAN_0111,delisting_post,delisting,False,True,post_2018,20190904900379,2019-09-04,017680,데코앤에프,기타시장안내(상장폐지 관련 이의신청서 접수),False
