variant_id,module,signal,rebalance,portfolio,method,lookback,cost_layer,start_date,end_date,trading_days,total_return,cagr,sharpe,max_drawdown,calmar,volatility,nav_final,total_turnover,annualized_turnover,taxable_turnover,tax_paid_krw,tax_drag_sharpe,top_asset,top_asset_contribution,qqq_exposure,qqq_contribution,p08_proxy_sharpe_diff,p08_proxy_mdd_diff,ew13_sharpe_diff,n001_b_sharpe_diff,n002_b_sharpe_diff,random_percentile
XETF900_V14,B,ret_12m_skip_1m,monthly,def_sleeve_top2_ew,,0,after_cost,2011-01-04,2026-05-18,3865,5.331203684305608,0.12759836882059972,1.0476047929786052,-0.1571536637413048,0.8119337836796672,0.12199476851501603,6.312210073252691,31.175080145090774,2.028629613930947,15.08754007254539,0.0,-0.04844831583523446,SPY,0.7821873462264084,0.2100000000000078,0.755139388941281,0.011961764546749576,-0.00291864713113843,0.19280725779852614,-0.13682118735657833,-0.11837477008008124,100.0
XETF900_V14,B,ret_12m_skip_1m,monthly,def_sleeve_top2_ew,,0,after_tax,2011-01-04,2026-05-18,3865,4.647050442854013,0.11923853731622702,0.982418170168147,-0.16733364167992126,0.7125795872195777,0.1225686149084874,5.630109291525451,31.194120767185314,2.029868628222775,15.149606995148604,34269323.10945034,-0.11363493864569263,SPY,0.7821873462264084,0.2100000000000078,0.755139388941281,-0.053224858263708597,-0.013098625069754899,0.12762063498806797,-0.2020078101670365,-0.1835613928905394,100.0
XETF900_V15,B,ret_12m_skip_1m,quarterly,def_sleeve_top1,,0,gross,2011-01-04,2026-05-18,3865,6.77185420784307,0.1427424398867585,1.019342908404523,-0.20732215187170167,0.6885054906004092,0.1409458899197497,7.77185420784307,30.575214003348766,1.9895950320190872,14.787607001674385,0.0,0.0,SPY,0.7806338102344957,0.2100000000000078,0.7560097905895842,-0.01630012002733272,-0.0530871352615353,0.16454537322444385,-0.16508307193066063,-0.14663665465416353,99.6
XETF900_V15,B,ret_12m_skip_1m,quarterly,def_sleeve_top1,,0,after_cost,2011-01-04,2026-05-18,3865,6.111085389496102,0.13615426630824312,0.9782785133740909,-0.20732215187170167,0.656728020035699,0.1409358322928821,7.089752133327614,30.575214003348766,1.9895950320190872,14.787607001674383,0.0,-0.04106439503043202,SPY,0.7806338102344957,0.2100000000000078,0.7560097905895842,-0.05736451505776474,-0.0530871352615353,0.12348097819401183,-0.20614746696109265,-0.18770104968459556,99.6
XETF900_V15,B,ret_12m_skip_1m,quarterly,def_sleeve_top1,,0,after_tax,2011-01-04,2026-05-18,3865,5.334392923598013,0.12763532169249947,0.9214159969839696,-0.20732215187170167,0.6156376467261673,0.14153881465099058,6.315389744827219,30.619372102198028,1.9924684946245912,14.865570774187505,34705242.25225125,-0.09792691142055332,SPY,0.7806338102344957,0.2100000000000078,0.7560097905895842,-0.11422703144788604,-0.0530871352615353,0.06661846180389053,-0.26300998335121395,-0.24456356607471685,99.6
XETF900_V16,B,ret_12m_skip_1m,quarterly,def_sleeve_top2_ew,,0,gross,2011-01-04,2026-05-18,3865,6.019554086393417,0.13519686649609453,1.095892059993467,-0.15921936382880786,0.8491232677041579,0.12285927489197694,7.019554086393417,21.436949544234235,1.3949484804973373,10.218474772117117,0.0,0.0,SPY,0.786000574802915,0.2100000000000078,0.7605537657777635,0.06024903156161132,-0.004984347218641494,0.2410945248133879,-0.08853392034171659,-0.07008750306521949,100.0
XETF900_V16,B,ret_12m_skip_1m,quarterly,def_sleeve_top2_ew,,0,after_cost,2011-01-04,2026-05-18,3865,5.601777285277141,0.13067319973642766,1.0631846609309012,-0.1592956868713672,0.8203185051830533,0.12287596358925057,6.581971953421309,21.43694954423423,1.394948480497337,10.218474772117117,0.0,-0.0327073990625657,SPY,0.786000574802915,0.2100000000000078,0.7605537657777635,0.02754163249904562,-0.005060670261200828,0.2083871257508222,-0.12124131940428229,-0.10279490212778519,100.0
XETF900_V16,B,ret_12m_skip_1m,quarterly,def_sleeve_top2_ew,,0,after_tax,2011-01-04,2026-05-18,3865,4.99888864906557,0.12364918961057891,1.0095512102043434,-0.16837168828013127,0.7343823113827513,0.12326369950920033,5.980891983118373,21.47732129011053,1.397575556959357,10.284276673125488,26866233.122424472,-0.0863408497891236,SPY,0.786000574802915,0.2100000000000078,0.7605537657777635,-0.026091818227512276,-0.014136671669964906,0.1547536750242643,-0.17487477013084018,-0.1564283528543431,100.0
XETF900_V17,C,vol_budget,monthly,risk_budget,inverse_vol,126,gross,2011-01-04,2026-05-18,3865,2.161703162565948,0.07778204013944001,0.8181576405697631,-0.14276113540254887,0.5448404421841778,0.09757288446255483,3.161703162565948,10.007248151902473,0.6511931921400995,4.503624075951238,0.0,0.0,QQQ,0.21676432436831988,0.062413019480595085,0.21676432436831988,-0.21748538786209248,0.011473881207617498,-0.036639894610315915,-0.3662683397654204,-0.3478219224889233,0.0
XETF900_V17,C,vol_budget,monthly,risk_budget,inverse_vol,126,after_cost,2011-01-04,2026-05-18,3865,2.0774046894685982,0.07588839777018608,0.8001587321638884,-0.14299368299806958,0.5307115403916869,0.0975639568890549,3.0681724754001922,10.007248151902475,0.6511931921400996,4.50362407595124,0.0,-0.017998908405874703,QQQ,0.21676432436831988,0.062413019480595085,0.21676432436831988,-0.23548429626796719,0.011241333612096782,-0.05463880301619062,-0.3842672481712951,-0.365820830894798,0.0
