rcept_no,parse_status,body_text_len,n_label_hits
20231017900001,label_no_value,596,1
20211222900391,no_label_match,611,0
20211208600474,no_label_match,521,0
20211130900799,no_label_match,1653,0
20211108900477,no_label_match,1088,0
20211020900599,no_label_match,959,0
20191129900779,no_label_match,652,0
20191031900713,no_label_match,601,0
20240328903821,no_label_match,722,0
20240328800097,label_no_value,547,1
20240328800038,label_no_value,281,1
20240327801541,label_no_value,289,1
20240321902205,no_label_match,884,0
20240321902843,no_label_match,1104,0
20240314602638,no_label_match,425,0
20240311901374,no_label_match,873,0
20240307901342,no_label_match,887,0
20240221900921,no_label_match,918,0
20240131901132,no_label_match,712,0
20240131901074,no_label_match,622,0
20240124900629,no_label_match,1010,0
20240122900687,no_label_match,934,0
20240119900679,no_label_match,1332,0
20240117900534,no_label_match,1399,0
20200921900571,no_label_match,578,0
20200910600341,no_label_match,263,0
20200904900562,no_label_match,205,0
20200826900484,no_label_match,791,0
20200825600342,no_label_match,260,0
20200811900510,no_label_match,504,0
20200807900636,no_label_match,487,0
20200805900060,no_label_match,941,0
20200804900490,no_label_match,801,0
20200804900483,no_label_match,617,0
20200729900550,no_label_match,607,0
20200721600528,no_label_match,257,0
20200720900262,no_label_match,605,0
20210924900494,no_label_match,614,0
20210917900571,no_label_match,668,0
20210913800503,no_label_match,710,0
20210817902790,no_label_match,961,0
20210809900505,no_label_match,620,0
20210729900359,no_label_match,614,0
20210727900567,no_label_match,617,0
20210723900619,no_label_match,1243,0
20210705900569,no_label_match,1057,0
20220930901010,no_label_match,620,0
20220923900643,no_label_match,1383,0
20220921900485,no_label_match,358,0
20220915900558,no_label_match,435,0
20220908600422,no_label_match,411,0
20220906900521,no_label_match,623,0
20220902900555,no_label_match,1172,0
20220825900507,no_label_match,649,0
20220816902970,no_label_match,1319,0
20220816902936,no_label_match,1080,0
20220812901513,no_label_match,1082,0
20220805900596,no_label_match,1006,0
20220802600359,no_label_match,249,0
20220722900574,no_label_match,1091,0
20220721900555,no_label_match,1653,0
20220714800004,label_no_value,290,1
20190927900057,no_label_match,678,0
20190916900482,no_label_match,575,0
20190827900447,no_label_match,572,0
20190814800189,label_no_value,271,1
20190724800281,label_no_value,292,1
20190703900821,no_label_match,568,0
20241210900442,no_label_match,628,0
20241129900815,no_label_match,891,0
20241126800652,label_no_value,363,1
20241024900646,no_label_match,636,0
20201221800384,label_no_value,283,1
20201210900674,no_label_match,705,0
20201023900591,no_label_match,570,0
