sample_id,bucket,category,period,rcept_no,rcept_dt,stock_code,corp_code,corp_name,corp_cls,report_nm,is_correction,body_format,n_findings,labels_present,classification,effective_date_value,effective_date_label,effective_date_field_type,rcept_relation,reviewer_confidence,low_confidence_reason
MAN_0047,resumption_related_pre,resumption_related,pre_2018,20140901800022,20140901,010140,00126478,삼성중공업,Y,매매거래정지및정지해제(중요내용공시),False,html_inline,8,매매거래정지|해제일,explicit_resumption_date,2014-09-01,해제일,explicit_resumption_date,equal_to_rcept_dt,high,
MAN_0048,resumption_related_pre,resumption_related,pre_2018,20110520900219,20110520,041140,00266943,넥슨지티,E,주권매매거래정지해제,False,html_inline,3,매매거래정지|재개일|해제일,explicit_resumption_date,2011-05-25,해제일,explicit_resumption_date,after_rcept_dt,high,
MAN_0049,resumption_related_pre,resumption_related,pre_2018,20140519900313,20140519,099830,00232496,씨그널엔터테인먼트그룹,E,[기재정정]기타주요경영사항(유형자산 취득 계약 해제),True,html_inline,0,,no_date_found,,,,unknown,low,body_no_evidence
MAN_0050,resumption_related_pre,resumption_related,pre_2018,20171219900406,20171219,073070,00235147,에이팸,E,주권매매거래정지해제(액면분할 주권 변경상장),False,html_inline,3,매매거래정지|재개일|해제일,explicit_resumption_date,2017-12-22,해제일,explicit_resumption_date,after_rcept_dt,high,
MAN_0051,resumption_related_pre,resumption_related,pre_2018,20110408800108,20110408,000080,00150244,하이트진로,Y,매매거래정지및정지해제(중요내용공시),False,html_inline,8,매매거래정지|해제일,explicit_resumption_date,2011-04-08,해제일,explicit_resumption_date,equal_to_rcept_dt,high,
MAN_0052,resumption_related_pre,resumption_related,pre_2018,20111214900344,20111214,036090,00258360,위지트,K,주권매매거래정지(채권은행 등의 관리절차 해제),False,html_inline,4,매매거래정지|재개일|정지기간|정지일,explicit_suspension_period,2011-12-14,정지기간,explicit_suspension_period,equal_to_rcept_dt,high,
MAN_0053,resumption_related_pre,resumption_related,pre_2018,20170331905017,20170331,052270,00291231,우전,E,주권매매거래정지해제(상장폐지에 따른 정리매매 개시),False,html_inline,5,매매거래정지|상장폐지일|정리매매기간|폐지일|해제일,explicit_resumption_date,2017-04-04,해제일,explicit_resumption_date,after_rcept_dt,high,
MAN_0054,resumption_related_pre,resumption_related,pre_2018,20161122600380,20161122,185280,00893923,이푸른,E,주권매매거래정지해제,False,html_inline,5,매매거래정지|상장폐지일|정리매매기간|폐지일|해제일,explicit_resumption_date,2016-11-24,해제일,explicit_resumption_date,after_rcept_dt,high,
MAN_0055,resumption_related_pre,resumption_related,pre_2018,20160704800128,20160704,008870,00168401,금비,Y,생산재개(자율공시),False,html_inline,1,재개일,explicit_resumption_date,2016-07-04,재개일,explicit_resumption_date,equal_to_rcept_dt,high,
MAN_0056,resumption_related_pre,resumption_related,pre_2018,20170331905115,20170331,067630,00365590,HLB생명과학,K,주권매매거래정지해제(우회상장 미해당),False,html_inline,3,매매거래정지|재개일|해제일,explicit_resumption_date,2017-04-03,해제일,explicit_resumption_date,after_rcept_dt,high,
MAN_0057,resumption_related_pre,resumption_related,pre_2018,20130827800396,20130827,053000,00375302,우리금융지주,E,매매거래정지및정지해제(중요내용공시),False,html_inline,10,매매거래정지|해제일,explicit_resumption_date,2013-08-28,해제일,explicit_resumption_date,after_rcept_dt,high,
MAN_0058,resumption_related_pre,resumption_related,pre_2018,20170228900717,20170228,215790,01065679,이노인스트루먼트,K,기타시장안내(저유동성종목 단일가매매 해제),False,html_inline,1,해제일,explicit_resumption_date,2017-03-02,해제일,explicit_resumption_date,after_rcept_dt,high,
MAN_0059,resumption_related_pre,resumption_related,pre_2018,20140530801121,20140530,138440,00846396,이코리아자기관리부동산투자회사,E,매매거래정지및정지해제(중요내용공시),False,html_inline,10,매매거래정지|해제일,explicit_resumption_date,2014-06-02,해제일,explicit_resumption_date,after_rcept_dt,high,
MAN_0060,resumption_related_pre,resumption_related,pre_2018,20160816901177,20160816,043290,00297961,케이맥,E,최대주주변경을수반하는주식담보제공계약해제ㆍ취소등,False,html_inline,0,,no_date_found,,,,unknown,low,body_no_evidence
MAN_0061,resumption_related_post,resumption_related,post_2018,20191128800393,2019-11-28,011070,105961,LG이노텍,Y,매매거래정지및정지해제(중요내용공시),False,html_inline,10,매매거래정지|해제일,explicit_resumption_date,2019-11-29,해제일,explicit_resumption_date,unknown,high,
MAN_0062,resumption_related_post,resumption_related,post_2018,20200504800162,2020-05-04,002360,136457,SH에너지화학,Y,생산재개(자율공시),False,html_inline,1,재개일,explicit_resumption_date,2020-05-05,재개일,explicit_resumption_date,unknown,high,
MAN_0063,resumption_related_post,resumption_related,post_2018,20240404900744,2024-04-04,208350,1047169,지란지교시큐리티,K,주권매매거래정지해제              (상장적격성 실질심사 대상 제외 결정),False,html_inline,3,매매거래정지|재개일|해제일,explicit_resumption_date,2024-04-05,해제일,explicit_resumption_date,unknown,high,
MAN_0064,resumption_related_post,resumption_related,post_2018,20190426901134,2019-04-26,065160,389387,라임,E,주권매매거래정지해제(상장폐지금지 가처분 결정 취소에 따른 정리매매 재개),False,html_inline,5,매매거래정지|상장폐지일|정리매매기간|폐지일|해제일,explicit_resumption_date,2019-04-30,해제일,explicit_resumption_date,unknown,high,
MAN_0065,resumption_related_post,resumption_related,post_2018,20201028900718,2020-10-28,127160,806972,매직마이크로,E,주권매매거래정지해제(파산신청 사유 해소),False,html_inline,3,매매거래정지|재개일|해제일,explicit_resumption_date,2020-10-29,해제일,explicit_resumption_date,unknown,high,
MAN_0066,resumption_related_post,resumption_related,post_2018,20240105900723,2024-01-05,017000,136925,신원종합개발,K,주권매매거래정지해제(풍문 등 조회결과 공시),False,html_inline,3,매매거래정지|재개일|해제일,explicit_resumption_date,2024-01-08,해제일,explicit_resumption_date,unknown,high,
MAN_0067,resumption_related_post,resumption_related,post_2018,20180919800447,2018-09-19,002000,159005,생고뱅코리아홀딩스,E,매매거래정지및정지해제(중요내용공시),False,html_inline,10,매매거래정지|해제일,explicit_resumption_date,2018-09-20,해제일,explicit_resumption_date,unknown,high,
MAN_0068,resumption_related_post,resumption_related,post_2018,20210903900611,2021-09-03,141070,678096,맥스로텍,E,주권매매거래정지해제(상장폐지에 따른 정리매매 개시),False,html_inline,5,매매거래정지|상장폐지일|정리매매기간|폐지일|해제일,explicit_resumption_date,2021-09-07,해제일,explicit_resumption_date,unknown,high,
MAN_0069,resumption_related_post,resumption_related,post_2018,20210701800304,2021-07-01,091090,585219,세원이앤씨,E,매매거래정지및정지해제(중요내용공시),False,html_inline,10,매매거래정지|해제일,explicit_resumption_date,2021-07-02,해제일,explicit_resumption_date,unknown,high,
MAN_0070,resumption_related_post,resumption_related,post_2018,20200422900651,2020-04-22,058420,359474,제이웨이,E,주권매매거래정지해제(파산신청 사유 해소),False,html_inline,3,매매거래정지|재개일|해제일,explicit_resumption_date,2020-04-23,해제일,explicit_resumption_date,unknown,high,
MAN_0071,resumption_related_post,resumption_related,post_2018,20191004900529,2019-10-04,035480,255141,글로앤웰,E,[기재정정]주권매매거래정지해제(상장폐지에 따른 정리매매 개시),True,unparseable,0,,body_unavailable,,,,unknown,low,zip_unparseable
MAN_0072,resumption_related_post,resumption_related,post_2018,20221005900286,2022-10-05,182690,411905,테라셈,E,주권매매거래정지해제(상장폐지에 따른 정리매매 개시),False,html_inline,5,매매거래정지|상장폐지일|정리매매기간|폐지일|해제일,explicit_resumption_date,2022-10-06,해제일,explicit_resumption_date,unknown,high,
MAN_0073,resumption_related_post,resumption_related,post_2018,20200428900894,2020-04-28,197210,601641,리드,E,주권매매거래정지해제(상장폐지결정등효력정지 가처분신청 기각결정에 따른 정리매매절차 재개),False,html_inline,5,매매거래정지|상장폐지일|정리매매기간|폐지일|해제일,explicit_resumption_date,2020-05-04,해제일,explicit_resumption_date,unknown,high,
MAN_0074,resumption_related_post,resumption_related,post_2018,20230413900714,2023-04-13,367480,1504910,유안타제8호기업인수목적,E,주권매매거래정지해제(상장예비심사결과 통지(승인)),False,html_inline,3,매매거래정지|재개일|해제일,explicit_resumption_date,2023-04-14,해제일,explicit_resumption_date,unknown,high,
MAN_0075,resumption_related_post,resumption_related,post_2018,20210528900666,2021-05-28,195440,1113949,퓨전,E,주권매매거래정지해제(상장폐지에 따른 정리매매 개시),False,html_inline,5,매매거래정지|상장폐지일|정리매매기간|폐지일|해제일,explicit_resumption_date,2021-06-01,해제일,explicit_resumption_date,unknown,high,
MAN_0076,resumption_related_post,resumption_related,post_2018,20250512900786,2025-05-12,027040,130587,서울전자통신,K,주권매매거래정지해제              (감자 주권 변경상장),False,html_inline,3,매매거래정지|재개일|해제일,explicit_resumption_date,2025-05-15,해제일,explicit_resumption_date,unknown,high,
MAN_0077,resumption_related_post,resumption_related,post_2018,20210607900469,2021-06-07,033430,244419,디에스티,E,주권매매거래정지해제(상장폐지에 따른 정리매매 개시),False,html_inline,5,매매거래정지|상장폐지일|정리매매기간|폐지일|해제일,explicit_resumption_date,2021-06-09,해제일,explicit_resumption_date,unknown,high,
MAN_0078,resumption_related_post,resumption_related,post_2018,20200922900513,2020-09-22,317240,1353024,TS트릴리온,K,주권매매거래정지해제(상장예비심사결과 통지(승인)),False,html_inline,3,매매거래정지|재개일|해제일,explicit_resumption_date,2020-09-23,해제일,explicit_resumption_date,unknown,high,
MAN_0079,resumption_related_post,resumption_related,post_2018,20250626900790,2025-06-26,057880,410739,푸른소나무,E,주권매매거래정지해제              (상장폐지에 따른 정리매매 개시),False,html_inline,5,매매거래정지|상장폐지일|정리매매기간|폐지일|해제일,explicit_resumption_date,2025-06-30,해제일,explicit_resumption_date,unknown,high,
MAN_0080,resumption_related_post,resumption_related,post_2018,20231107600256,2023-11-07,093510,521433,엔지브이아이,N,주권매매거래정지해제,False,html_inline,3,매매거래정지|재개일|해제일,explicit_resumption_date,2023-11-08,해제일,explicit_resumption_date,unknown,high,
